arm,cell,beta,q,k,draw,panel_vol,breadth_IS,breadth_full
REPRO,SMALL-LO,,,20,0,0.2827834518989555,0.6677884615384616,0.5694987775061124
REPRO,SMALL-LO,,,20,1,0.29255076171659256,0.6548076923076923,0.5726772616136919
REPRO,SMALL-LO,,,20,2,0.3110856958631162,0.6955128205128205,0.602200488997555
REPRO,SMALL-LO,,,20,3,0.31067416607917275,0.6464743589743589,0.5855745721271394
REPRO,SMALL-LO,,,20,4,0.3110992078010344,0.68125,0.5894865525672371
REPRO,SMALL-LO,,,20,5,0.3128558791599917,0.6552884615384615,0.5818459657701711
REPRO,SMALL-LO,,,20,6,0.2914203811217098,0.7014423076923075,0.5940097799511002
REPRO,SMALL-LO,,,20,7,0.289604429976526,0.6780448717948718,0.5952933985330073
REPRO,SMALL-LO,,,30,0,0.29451285890186457,0.7185897435897437,0.6085167074164629
REPRO,SMALL-LO,,,30,1,0.29784743006561243,0.6303418803418803,0.5525672371638142
REPRO,SMALL-LO,,,30,2,0.2792014015408526,0.6991452991452992,0.6205378973105135
REPRO,SMALL-LO,,,30,3,0.2957208915395327,0.7017094017094014,0.5974735126324369
REPRO,SMALL-LO,,,30,4,0.3086918611217067,0.6761752136752136,0.6028524857375713
REPRO,SMALL-LO,,,30,5,0.31076360354654414,0.6909188034188033,0.5987367563162185
REPRO,SMALL-LO,,,30,6,0.29710243308654555,0.6896367521367522,0.593357783211084
REPRO,SMALL-LO,,,30,7,0.30015778940309945,0.7056623931623932,0.5885493072534638
REPRO,SMALL-LO,,,40,0,0.29924373918973923,0.6883012820512822,0.585177261613692
REPRO,SMALL-LO,,,40,1,0.2907094496293339,0.7056089743589744,0.5973716381418093
REPRO,SMALL-LO,,,40,2,0.2853000601247014,0.6912660256410257,0.6145171149144255
REPRO,SMALL-LO,,,40,3,0.2862220473818292,0.7007211538461539,0.6058374083129585
REPRO,SMALL-LO,,,40,4,0.2952848716522863,0.7024038461538462,0.6141809290953545
REPRO,SMALL-LO,,,40,5,0.29096447521438196,0.7009615384615385,0.6159229828850855
REPRO,SMALL-LO,,,40,6,0.30224672384185325,0.6787660256410255,0.5940403422982885
REPRO,SMALL-LO,,,40,7,0.30218180511112,0.6717948717948717,0.5839853300733496
REPRO,SMALL-HI,,,20,0,0.5256381487995749,0.4153846153846154,0.3699877750611247
REPRO,SMALL-HI,,,20,1,0.4388981885778874,0.526602564102564,0.47353300733496334
REPRO,SMALL-HI,,,20,2,0.5359419541667603,0.40224358974358976,0.3810513447432763
REPRO,SMALL-HI,,,20,3,0.5507915702303479,0.4665064102564103,0.4198655256723717
REPRO,SMALL-HI,,,20,4,0.5480828365778241,0.42948717948717946,0.36968215158924206
REPRO,SMALL-HI,,,20,5,0.6409798824944752,0.44102564102564107,0.3992665036674817
REPRO,SMALL-HI,,,20,6,0.5341943341896069,0.4591346153846154,0.4245110024449878
REPRO,SMALL-HI,,,20,7,0.579721786717453,0.42323717948717954,0.3981662591687042
REPRO,SMALL-HI,,,30,0,0.5255298669706003,0.4645299145299146,0.46491442542787287
REPRO,SMALL-HI,,,30,1,0.5790534215602681,0.42873931623931616,0.40643846780766096
REPRO,SMALL-HI,,,30,2,0.5133278752490779,0.45747863247863246,0.41181744091279543
REPRO,SMALL-HI,,,30,3,0.6500706986925717,0.44561965811965804,0.4106356968215159
REPRO,SMALL-HI,,,30,4,0.5473228496640675,0.4516025641025641,0.421801140994295
REPRO,SMALL-HI,,,30,5,0.5301324577176106,0.44871794871794873,0.4125509372453138
REPRO,SMALL-HI,,,30,6,0.5402260302761148,0.4771367521367521,0.43614506927465363
REPRO,SMALL-HI,,,30,7,0.4990217869528392,0.4829059829059829,0.44861450692746535
REPRO,SMALL-HI,,,40,0,0.5469642686357877,0.44927884615384617,0.4375
REPRO,SMALL-HI,,,40,1,0.5534903910827452,0.46474358974358976,0.41937652811735937
REPRO,SMALL-HI,,,40,2,0.5526518938707811,0.40657051282051276,0.4134474327628362
REPRO,SMALL-HI,,,40,3,0.5433013224104097,0.42764423076923075,0.41161369193154035
REPRO,SMALL-HI,,,40,4,0.5174120421343421,0.4998397435897436,0.47478606356968217
REPRO,SMALL-HI,,,40,5,0.5654184469109975,0.45713141025641024,0.4206295843520782
REPRO,SMALL-HI,,,40,6,0.6212665835949246,0.41706730769230765,0.3900366748166259
REPRO,SMALL-HI,,,40,7,0.524976012811236,0.45024038461538457,0.41311124694376533
REPRO,BSTK-LO,,,20,0,0.19270842054556775,0.760576923076923,0.726161369193154
REPRO,BSTK-LO,,,20,1,0.1904027852371994,0.7658653846153848,0.7319070904645477
REPRO,BSTK-LO,,,20,2,0.19902907314146895,0.829647435897436,0.7495110024449878
REPRO,BSTK-LO,,,20,3,0.20137656331050602,0.7858974358974359,0.7400366748166259
REPRO,BSTK-LO,,,20,4,0.19705836076565553,0.8004807692307692,0.7297066014669926
REPRO,BSTK-LO,,,20,5,0.18594762035812878,0.7942307692307693,0.7342298288508557
REPRO,BSTK-LO,,,20,6,0.20247151892049078,0.7972756410256409,0.7387530562347189
REPRO,BSTK-LO,,,20,7,0.18772781812187952,0.769551282051282,0.7386919315403423
REPRO,BSTK-LO,,,30,0,0.19708039251132148,0.8008547008547009,0.7447432762836186
REPRO,BSTK-LO,,,30,1,0.18813534028950976,0.7995726495726495,0.7509372453137734
REPRO,BSTK-LO,,,30,2,0.18948600630119097,0.7763888888888888,0.7293398533007335
REPRO,BSTK-LO,,,30,3,0.19464187394635316,0.7955128205128204,0.7416055419722902
REPRO,BSTK-LO,,,30,4,0.1930369880980624,0.7864316239316238,0.7336185819070905
REPRO,BSTK-LO,,,30,5,0.1967539235643266,0.789102564102564,0.7344743276283618
REPRO,BSTK-LO,,,30,6,0.18965135726299948,0.8028846153846153,0.7448655256723716
REPRO,BSTK-LO,,,30,7,0.196247878958058,0.7934829059829058,0.737123064384678
