panel,anchor,ladder,n_rungs,spread_IS,margin_IS,S_OBS_MARGIN,S_OBS_RATIO,anchor_IS_S,pick_rung,anchor_rung,reach,pick_OOS_S,anchor_OOS_S,realised_d,spread_OOS
U56,A,H_FINE7,7,0.4005158888858882,0.1727248881959489,0.15530351353135413,0.4312560200206197,1.1121763073381954,378,126,0,1.03463289321641,1.1690155684196564,-0.13438267520324643,0.1619809565240149
U56,A,H_1260_4,4,0.0220539010277645,0.009656559826749733,0.008682580057707815,0.43786175582236997,1.1121763073381954,252,126,0,1.1966138497404248,1.1690155684196564,0.02759828132076847,0.09006740351317766
U56,A,N,9,0.15179716544015598,0.010078361404879832,0.009061837892411747,0.06639360738822947,1.1121763073381954,40,20,0,1.101239840682055,1.1690155684196564,-0.06777572773760143,0.2867747015558899
U56,A,GROSS,10,0.001394802924361116,0.00010873814920775438,9.777060389642773e-05,0.07795950761829773,1.1121763073381954,0.75,0.75,1,1.1690155684196564,1.1690155684196564,0.0,0.0021431732399634917
U56,A,CADENCE,4,0.0362777663702567,0.007846348567201789,0.007054950294689057,0.21628532713730764,1.1121763073381954,W,W,1,1.1690155684196564,1.1690155684196564,0.0,0.09614393824525758
U56,B,H_FINE7,7,0.3946332469670073,0.2651262622371122,0.24195571001751381,0.6718295132880117,1.0957636098686045,378,63,0,1.174641730718506,1.0222691173123764,0.15237261340612962,0.3068496176651022
U56,B,H_1260_4,4,0.05597574804125216,0.02238716860450296,0.02043065530090697,0.3999440719935427,1.0957636098686045,252,63,0,1.0709922958579627,1.0222691173123764,0.04872317854558639,0.05425840360265877
U56,B,N,9,0.0734804679356924,0.009783102790636322,0.008928114332807088,0.1331388199541429,1.0957636098686045,10,12,0,0.9424818192502933,1.0222691173123764,-0.07978729806208307,0.48740879268102977
U56,B,GROSS,10,0.008456439606773447,0.0009184623201548003,0.0008381938511947255,0.10861099503615322,1.0957636098686045,0.75,0.55,0,1.0255472800905547,1.0222691173123764,0.003278162778178384,0.00748925679472956
U56,B,CADENCE,4,0.12105392333934684,0.03313187484145774,0.03023633431797453,0.27369517589760517,1.0957636098686045,W,M,0,1.1195018888662804,1.0222691173123764,0.09723277155390408,0.09771738983928269
B135,A,H_FINE7,7,0.10877957226633206,0.004503430820438803,0.003934924530503467,0.04139960037177534,1.1444770504563138,378,126,0,0.9388114134548301,1.0102419886913445,-0.07143057523651442,0.10898961527178719
B135,A,H_1260_4,4,0.1003340421873189,0.004637168835211591,0.004051779660730382,0.046217303062047646,1.1444770504563138,63,126,0,0.9962408428094426,1.0102419886913445,-0.014001145881901933,0.051560185917174706
B135,A,N,9,0.1870525037430406,0.00937163729007251,0.008188575984407857,0.05010164046211644,1.1444770504563138,8,20,0,0.7868081988787825,1.0102419886913445,-0.223433789812562,0.30092663215085513
B135,A,GROSS,10,0.0033849658803777327,0.0003330217984522932,0.0002909816307103006,0.09838261602067636,1.1444770504563138,0.75,0.75,1,1.0102419886913445,1.0102419886913445,0.0,0.004536813988865074
B135,A,CADENCE,4,0.09360366140824383,0.020478023774152865,0.01789290905045941,0.21877374737340488,1.1444770504563138,W,W,1,1.0102419886913445,1.0102419886913445,0.0,0.11327854856048925
B135,B,H_FINE7,7,0.46404468001412913,0.17470362779250537,0.13576107702894974,0.3764801867509526,1.2868462125948774,42,63,0,0.8486821824901722,0.7333980866712816,0.11528409581889065,0.34250491784247383
B135,B,H_1260_4,4,0.28934105222162376,0.02815213311403486,0.02187684343202684,0.09729740352389209,1.2868462125948774,63,63,1,0.7333980866712816,0.7333980866712816,0.0,0.34250491784247383
B135,B,N,9,0.2672758495035963,0.0218383657625294,0.016970455015361274,0.08170721673166194,1.2868462125948774,5,12,0,0.6987536051202518,0.7333980866712816,-0.03464448155102984,0.4010644275355969
B135,B,GROSS,10,0.009051996614088509,0.000986807160424208,0.0007668415625472046,0.10901541422235436,1.2868462125948774,0.75,0.55,0,0.7421646022304209,0.7333980866712816,0.00876651555913932,0.019804014491289323
B135,B,CADENCE,4,0.04564667742460626,0.04074045666672399,0.031659149530053304,0.8925174616271736,1.2868462125948774,D,M,0,0.8554792937346299,0.7333980866712816,0.12208120706334835,0.2495534867557796
SMALL663,A,H_FINE7,7,0.568027479039825,0.1271512885553413,0.20786520274996034,0.22384707298012002,0.6117006929163162,252,126,0,0.667742920666616,0.45343025806528664,0.21431266260132936,0.2751003978086693
SMALL663,A,H_1260_4,4,0.37191248457531534,0.187607896118698,0.30669884518892265,0.504440974421513,0.6117006929163162,252,126,0,0.667742920666616,0.45343025806528664,0.21431266260132936,0.23233773239011085
SMALL663,A,N,9,0.3292112739016503,0.07400986100338047,0.12099031742229104,0.22480961883914838,0.6117006929163162,25,20,0,0.4164436733590105,0.45343025806528664,-0.03698658470627614,0.3082980438803894
SMALL663,A,GROSS,10,0.002364751361622286,0.0002417894175945623,0.00039527406196291547,0.1022472897229618,0.6117006929163162,0.75,0.75,1,0.45343025806528664,0.45343025806528664,0.0,0.002047956590235378
