rung,form,f_form,RMSE_train,RMSE_test,MAE_test,rho_test,sign_test,p_lin_a,p_lin_b,p_sqrt_a,p_sqrt_b,p_tau,p_step_hi,p_step_lo,rule,n_admit,n_total,mean_admit,mean_reject,mean_all,lift
10.0,DEFAULT,CONST,0.07016732587206494,0.054665506424045475,0.04415356539613692,,0.2222222222222222,0.021080997234199355,0.026249366653809066,0.0239085384347279,0.010794085020165354,0.321699834989368,0.03266932363481723,0.023900361693571848,,,,,,,
10.0,DEFAULT,LIN,0.0698675741134317,0.05373271088469763,0.04100986943909552,-0.08151144696671737,0.2222222222222222,0.021080997234199355,0.026249366653809066,0.0239085384347279,0.010794085020165354,0.321699834989368,0.03266932363481723,0.023900361693571848,,,,,,,
10.0,DEFAULT,SQRT,0.07007588863143413,0.05408558216685698,0.042567204203135894,-0.08151144696671737,0.2222222222222222,0.021080997234199355,0.026249366653809066,0.0239085384347279,0.010794085020165354,0.321699834989368,0.03266932363481723,0.023900361693571848,,,,,,,
10.0,DEFAULT,STEP,0.0700302073869184,0.0547814321139895,0.04269207173926269,-0.24511243707547514,0.2222222222222222,0.021080997234199355,0.026249366653809066,0.0239085384347279,0.010794085020165354,0.321699834989368,0.03266932363481723,0.023900361693571848,,,,,,,
10.0,DEFAULT,SCREEN_LIN,,,,,,,,,,,,,>0,18.0,18.0,0.018030434934869128,,0.018030434934869128,0.0
10.0,DEFAULT,SCREEN_LIN,,,,,,,,,,,,,top-half,3.0,18.0,-0.00024232514005613956,0.02168498694985418,0.018030434934869128,-0.018272760074925266
10.0,DEFAULT,SCREEN_SQRT,,,,,,,,,,,,,>0,18.0,18.0,0.018030434934869128,,0.018030434934869128,0.0
10.0,DEFAULT,SCREEN_SQRT,,,,,,,,,,,,,top-half,3.0,18.0,-0.00024232514005613956,0.02168498694985418,0.018030434934869128,-0.018272760074925266
10.0,DEFAULT,SCREEN_STEP,,,,,,,,,,,,,>0,18.0,18.0,0.018030434934869128,,0.018030434934869128,0.0
10.0,DEFAULT,SCREEN_STEP,,,,,,,,,,,,,top-half,3.0,18.0,-0.00024232514005613956,0.02168498694985418,0.018030434934869128,-0.018272760074925266
10.0,MEDIAN,CONST,0.08105722652600776,0.07593086648670475,0.051112823963969066,,0.7222222222222222,-0.006899229206554226,0.05145921563850022,-0.005657601427713803,0.03177023742339535,0.321699834989368,0.017659593732974682,-0.0032132384484730436,,,,,,,
10.0,MEDIAN,LIN,0.08005594629636412,0.0763243638631852,0.05081859585384221,0.5677949105508856,0.6111111111111112,-0.006899229206554226,0.05145921563850022,-0.005657601427713803,0.03177023742339535,0.321699834989368,0.017659593732974682,-0.0032132384484730436,,,,,,,
10.0,MEDIAN,SQRT,0.08036904978196781,0.07467471434264156,0.049900001124766995,0.5677949105508856,0.5555555555555556,-0.006899229206554226,0.05145921563850022,-0.005657601427713803,0.03177023742339535,0.321699834989368,0.017659593732974682,-0.0032132384484730436,,,,,,,
10.0,MEDIAN,STEP,0.08038255526710891,0.07753465996357348,0.050979019040954365,0.41663054538992833,0.4444444444444444,-0.006899229206554226,0.05145921563850022,-0.005657601427713803,0.03177023742339535,0.321699834989368,0.017659593732974682,-0.0032132384484730436,,,,,,,
10.0,MEDIAN,SCREEN_LIN,,,,,,,,,,,,,>0,6.0,18.0,0.10805366199691151,0.01521724916090425,0.04616272010624,0.06189094189067151
10.0,MEDIAN,SCREEN_LIN,,,,,,,,,,,,,top-half,3.0,18.0,0.10432120915623085,0.03453102229624183,0.04616272010624,0.058158489049990846
10.0,MEDIAN,SCREEN_SQRT,,,,,,,,,,,,,>0,9.0,18.0,0.0804575787926053,0.011867861419874707,0.04616272010624,0.0342948586863653
10.0,MEDIAN,SCREEN_SQRT,,,,,,,,,,,,,top-half,3.0,18.0,0.10432120915623085,0.03453102229624183,0.04616272010624,0.058158489049990846
10.0,MEDIAN,SCREEN_STEP,,,,,,,,,,,,,>0,3.0,18.0,0.10432120915623085,0.03453102229624183,0.04616272010624,0.058158489049990846
10.0,MEDIAN,SCREEN_STEP,,,,,,,,,,,,,top-half,3.0,18.0,0.10432120915623085,0.03453102229624183,0.04616272010624,0.058158489049990846
25.0,DEFAULT,CONST,0.10200769072291335,0.08426597930878103,0.07971313461004009,,0.3888888888888889,0.027121522463393617,0.16979532222838373,0.023787250995019996,0.12315821503057373,0.321699834989368,0.12007176284636323,0.027368140671449052,,,,,,,
25.0,DEFAULT,LIN,0.09300116103719015,0.07216463853997608,0.057208915677774544,0.10011778563015312,0.3888888888888889,0.027121522463393617,0.16979532222838373,0.023787250995019996,0.12315821503057373,0.321699834989368,0.12007176284636323,0.027368140671449052,,,,,,,
25.0,DEFAULT,SQRT,0.09346748238013647,0.07394188852457699,0.05944402403387102,0.10011778563015312,0.3888888888888889,0.027121522463393617,0.16979532222838373,0.023787250995019996,0.12315821503057373,0.321699834989368,0.12007176284636323,0.027368140671449052,,,,,,,
25.0,DEFAULT,STEP,0.09086846854401273,0.08386172412996475,0.062093464256437386,0.015348330863851047,0.3888888888888889,0.027121522463393617,0.16979532222838373,0.023787250995019996,0.12315821503057373,0.321699834989368,0.12007176284636323,0.027368140671449052,,,,,,,
25.0,DEFAULT,SCREEN_LIN,,,,,,,,,,,,,>0,18.0,18.0,0.03559774237219605,,0.03559774237219605,0.0
25.0,DEFAULT,SCREEN_LIN,,,,,,,,,,,,,top-half,3.0,18.0,0.03108051722631977,0.03650118740137131,0.03559774237219605,-0.004517225145876283
25.0,DEFAULT,SCREEN_SQRT,,,,,,,,,,,,,>0,18.0,18.0,0.03559774237219605,,0.03559774237219605,0.0
25.0,DEFAULT,SCREEN_SQRT,,,,,,,,,,,,,top-half,3.0,18.0,0.03108051722631977,0.03650118740137131,0.03559774237219605,-0.004517225145876283
25.0,DEFAULT,SCREEN_STEP,,,,,,,,,,,,,>0,18.0,18.0,0.03559774237219605,,0.03559774237219605,0.0
25.0,DEFAULT,SCREEN_STEP,,,,,,,,,,,,,top-half,3.0,18.0,0.03108051722631977,0.03650118740137131,0.03559774237219605,-0.004517225145876283
25.0,MEDIAN,CONST,0.0795435208010983,0.0896135290521058,0.06950682769794844,,0.7777777777777778,0.0051300438030432395,0.15805680492332172,0.0005755941215729418,0.11822197438828683,0.321699834989368,0.0933711395426372,0.0036427967824079663,,,,,,,
25.0,MEDIAN,LIN,0.0693200507368534,0.08374399073902011,0.05514427174731017,0.6163055436853302,0.7777777777777778,0.0051300438030432395,0.15805680492332172,0.0005755941215729418,0.11822197438828683,0.321699834989368,0.0933711395426372,0.0036427967824079663,,,,,,,
25.0,MEDIAN,SQRT,0.06920196391734203,0.07853449607282828,0.05234811678080414,0.6163055436853302,0.7777777777777778,0.0051300438030432395,0.15805680492332172,0.0005755941215729418,0.11822197438828683,0.321699834989368,0.0933711395426372,0.0036427967824079663,,,,,,,
25.0,MEDIAN,STEP,0.06568392366333228,0.09274577244198716,0.06012183216730376,0.41663054538992833,0.7777777777777778,0.0051300438030432395,0.15805680492332172,0.0005755941215729418,0.11822197438828683,0.321699834989368,0.0933711395426372,0.0036427967824079663,,,,,,,
25.0,MEDIAN,SCREEN_LIN,,,,,,,,,,,,,>0,18.0,18.0,0.06773080376959813,,0.06773080376959813,0.0
25.0,MEDIAN,SCREEN_LIN,,,,,,,,,,,,,top-half,3.0,18.0,0.15437729753823226,0.05040150501587129,0.06773080376959813,0.08664649376863413
25.0,MEDIAN,SCREEN_SQRT,,,,,,,,,,,,,>0,18.0,18.0,0.06773080376959813,,0.06773080376959813,0.0
25.0,MEDIAN,SCREEN_SQRT,,,,,,,,,,,,,top-half,3.0,18.0,0.15437729753823226,0.05040150501587129,0.06773080376959813,0.08664649376863413
