selector,pick,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,book,family,m,cost,dOOS
S0 do-nothing,-,0.487330838507868,0.07232854473169592,-0.2743260458646113,SMALL439,SMALL,0.2,10.0,0.0
S2LF IS-argmax (leak-free),REBASED/NEG,0.7334078710145102,0.12097270158348716,-0.2829844453852425,SMALL439,SMALL,0.2,10.0,0.2460770325066422
RANDOM (same pool),MOM/NEG,0.4750640858222052,0.06947073507051904,-0.28555628099355035,SMALL439,SMALL,0.2,10.0,-0.012266752685662796
C-MOM/POS,MOM/POS,0.6161137445708188,0.09737629661617864,-0.2520358531625293,SMALL439,SMALL,0.2,10.0,0.12878290606295079
C-MOM/NEG,MOM/NEG,0.4750640858222052,0.06947073507051904,-0.28555628099355035,SMALL439,SMALL,0.2,10.0,-0.012266752685662796
C-R3/POS,R3/POS,0.4619787025207499,0.06747770946235265,-0.2972290266188746,SMALL439,SMALL,0.2,10.0,-0.025352135987118107
C-R3/NEG,R3/NEG,0.7114796036041349,0.11581336627900973,-0.25138082334471124,SMALL439,SMALL,0.2,10.0,0.22414876509626686
C-REBASED/POS,REBASED/POS,0.3213170237151808,0.04066544063971245,-0.3567721088627728,SMALL439,SMALL,0.2,10.0,-0.16601381479268723
C-REBASED/NEG,REBASED/NEG,0.7334078710145102,0.12097270158348716,-0.2829844453852425,SMALL439,SMALL,0.2,10.0,0.2460770325066422
ORACLE-OOS,REBASED/NEG,0.7334078710145102,0.12097270158348716,-0.2829844453852425,SMALL439,SMALL,0.2,10.0,0.2460770325066422
S0 do-nothing,-,0.30160015433639353,0.038112002378476006,-0.35137641538009357,SMALL439,SMALL,0.2,25.0,0.0
S2LF IS-argmax (leak-free),REBASED/NEG,0.5479026745226214,0.08477528528935796,-0.28714609562715665,SMALL439,SMALL,0.2,25.0,0.2463025201862279
RANDOM (same pool),REBASED/NEG,0.5479026745226214,0.08477528528935796,-0.28714609562715665,SMALL439,SMALL,0.2,25.0,0.2463025201862279
C-MOM/POS,MOM/POS,0.4373011626670539,0.06341073876148684,-0.28538967123942593,SMALL439,SMALL,0.2,25.0,0.13570100833066034
C-MOM/NEG,MOM/NEG,0.2784051365170644,0.03372503489038059,-0.31875550175259415,SMALL439,SMALL,0.2,25.0,-0.023195017819329145
C-R3/POS,R3/POS,0.27096221375815543,0.03253335616071973,-0.35312213826185324,SMALL439,SMALL,0.2,25.0,-0.0306379405782381
C-R3/NEG,R3/NEG,0.5372352712823509,0.08219793491535987,-0.29186296696356795,SMALL439,SMALL,0.2,25.0,0.2356351169459574
C-REBASED/POS,REBASED/POS,0.14145752426735486,0.00965829875806179,-0.4195915946018366,SMALL439,SMALL,0.2,25.0,-0.16014263006903867
C-REBASED/NEG,REBASED/NEG,0.5479026745226214,0.08477528528935796,-0.28714609562715665,SMALL439,SMALL,0.2,25.0,0.2463025201862279
ORACLE-OOS,REBASED/NEG,0.5479026745226214,0.08477528528935796,-0.28714609562715665,SMALL439,SMALL,0.2,25.0,0.2463025201862279
S0 do-nothing,-,0.487330838507868,0.07232854473169592,-0.2743260458646113,SMALL439,SMALL,0.5,10.0,0.0
S2LF IS-argmax (leak-free),R3/NEG,0.5565641722454711,0.08707518894768551,-0.2524102105764219,SMALL439,SMALL,0.5,10.0,0.06923333373760304
RANDOM (same pool),R3/POS,0.5279269395665255,0.07945434055011402,-0.2551229242219266,SMALL439,SMALL,0.5,10.0,0.04059610105865746
C-MOM/POS,MOM/POS,0.6217765458132766,0.09854956413894711,-0.24934278205168836,SMALL439,SMALL,0.5,10.0,0.13444570730540856
C-MOM/NEG,MOM/NEG,0.2498454197788528,0.028360199814962517,-0.41810020694243233,SMALL439,SMALL,0.5,10.0,-0.2374854187290152
C-R3/POS,R3/POS,0.5279269395665255,0.07945434055011402,-0.2551229242219266,SMALL439,SMALL,0.5,10.0,0.04059610105865746
C-R3/NEG,R3/NEG,0.5565641722454711,0.08707518894768551,-0.2524102105764219,SMALL439,SMALL,0.5,10.0,0.06923333373760304
C-REBASED/POS,REBASED/POS,0.23921338597529357,0.025885849282946793,-0.40726330171553704,SMALL439,SMALL,0.5,10.0,-0.24811745253257445
C-REBASED/NEG,REBASED/NEG,0.7558828334182729,0.12481369832337941,-0.3247230246343993,SMALL439,SMALL,0.5,10.0,0.2685519949104049
ORACLE-OOS,REBASED/NEG,0.7558828334182729,0.12481369832337941,-0.3247230246343993,SMALL439,SMALL,0.5,10.0,0.2685519949104049
S0 do-nothing,-,0.30160015433639353,0.038112002378476006,-0.35137641538009357,SMALL439,SMALL,0.5,25.0,0.0
S2LF IS-argmax (leak-free),MOM/POS,0.44637113868574485,0.06514689157568188,-0.2778572765274606,SMALL439,SMALL,0.5,25.0,0.14477098434935132
RANDOM (same pool),R3/POS,0.3282368168168585,0.04274890796395181,-0.33526411052032723,SMALL439,SMALL,0.5,25.0,0.02663666248046498
C-MOM/POS,MOM/POS,0.44637113868574485,0.06514689157568188,-0.2778572765274606,SMALL439,SMALL,0.5,25.0,0.14477098434935132
C-MOM/NEG,MOM/NEG,-0.001609704962701291,-0.01467212996977929,-0.46762814671687214,SMALL439,SMALL,0.5,25.0,-0.30320985929909483
C-R3/POS,R3/POS,0.3282368168168585,0.04274890796395181,-0.33526411052032723,SMALL439,SMALL,0.5,25.0,0.02663666248046498
C-R3/NEG,R3/NEG,0.3579533269600466,0.049185312846342866,-0.32897275757082056,SMALL439,SMALL,0.5,25.0,0.05635317262365308
C-REBASED/POS,REBASED/POS,0.07119346368793841,-0.0015683031776098089,-0.49272555118339,SMALL439,SMALL,0.5,25.0,-0.23040669064845512
C-REBASED/NEG,REBASED/NEG,0.5740565904080454,0.0893995918878665,-0.3552559134146335,SMALL439,SMALL,0.5,25.0,0.2724564360716518
ORACLE-OOS,REBASED/NEG,0.5740565904080454,0.0893995918878665,-0.3552559134146335,SMALL439,SMALL,0.5,25.0,0.2724564360716518
S0 do-nothing,-,0.487330838507868,0.07232854473169592,-0.2743260458646113,SMALL439,SMALL,1.0,10.0,0.0
S2LF IS-argmax (leak-free),REBASED/NEG,0.8753283131464482,0.14927646436033903,-0.3316341291215372,SMALL439,SMALL,1.0,10.0,0.3879974746385802
RANDOM (same pool),MOM/POS,0.7075388504284911,0.11609248847234266,-0.2535739938183107,SMALL439,SMALL,1.0,10.0,0.22020801192062306
C-MOM/POS,MOM/POS,0.7075388504284911,0.11609248847234266,-0.2535739938183107,SMALL439,SMALL,1.0,10.0,0.22020801192062306
C-MOM/NEG,MOM/NEG,-0.04442846424287256,-0.020285367139429078,-0.5423317966472063,SMALL439,SMALL,1.0,10.0,-0.5317593027507406
C-R3/POS,R3/POS,0.5406263633772848,0.08133523503149176,-0.2614287490068,SMALL439,SMALL,1.0,10.0,0.053295524869416744
C-R3/NEG,R3/NEG,0.4197549435115186,0.056803546015614215,-0.38840339039162153,SMALL439,SMALL,1.0,10.0,-0.06757589499634942
C-REBASED/POS,REBASED/POS,0.2691310671803258,0.03043474494736187,-0.37349252798015786,SMALL439,SMALL,1.0,10.0,-0.2181997713275422
C-REBASED/NEG,REBASED/NEG,0.8753283131464482,0.14927646436033903,-0.3316341291215372,SMALL439,SMALL,1.0,10.0,0.3879974746385802
ORACLE-OOS,REBASED/NEG,0.8753283131464482,0.14927646436033903,-0.3316341291215372,SMALL439,SMALL,1.0,10.0,0.3879974746385802
S0 do-nothing,-,0.30160015433639353,0.038112002378476006,-0.35137641538009357,SMALL439,SMALL,1.0,25.0,0.0
