panel,anchor,ladder,chooser,seed,P_pick,B_RESOLVED,GAPEX_50,GAPEX_75,GAPEX_90,GAPEX_95,GAPEX_97.5,GAPEX_99,gapq_50,gapq_75,gapq_90,gapq_95,gapq_97.5,gapq_99
U56,A,N,CH_ISSHARPE,0,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05024129864621896,0.0980669308806344,0.1475671048355912,0.1744059310887293,0.18875515016157554,0.22328205869128467
U56,A,N,CH_ISCAGR,0,0.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02535376265773237,0.04250574815278363,0.05777229175980172,0.06462837003915765,0.07175715789835682,0.07950934040225455
U56,A,N,CH_ISDD,0,0.924,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014593746281830411,0.02080461482351617,0.02775227101067892,0.033229926265373515,0.03891504624083126,0.042378900327916705
U56,A,H,CH_ISSHARPE,0,0.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04561456065662495,0.08397602096251838,0.1257254666340545,0.1574639618069027,0.18239206211208142,0.20364209690940202
U56,A,H,CH_ISCAGR,0,0.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005792815900973358,0.010109157215535791,0.015352288889466294,0.018142395690501974,0.020682533805566027,0.02562330756855286
U56,A,H,CH_ISDD,0,0.521,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008779166896596025,0.016413634142421335,0.026261680594991357,0.032966919161248734,0.038262712280427755,0.04613952233671835
U56,A,GROSS,CH_ISSHARPE,0,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015244879286369084,0.000276502933468592,0.00037968026959116495,0.0004448819377750601,0.0005041489248764602,0.0006034985187147407
U56,A,GROSS,CH_ISCAGR,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009384548041800889,0.011224565427696787,0.013001398895985861,0.014117866388540169,0.014796581178779732,0.016028115393886027
U56,A,GROSS,CH_ISDD,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010254915317503333,0.012243381750518006,0.014030192618609027,0.015505485592228982,0.017092680280002676,0.018734818891235665
U56,A,CADENCE,CH_ISSHARPE,0,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043117616049600904,0.07815228959632697,0.11923328954453132,0.14848886869869599,0.17053375463477577,0.1937997921892277
U56,A,CADENCE,CH_ISCAGR,0,0.484,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0057154775485182,0.010450786079037988,0.014874853156121803,0.01820978074997376,0.021051520297396296,0.026208500025876512
U56,A,CADENCE,CH_ISDD,0,0.339,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.006210773299182792,0.012192414561739834,0.01928637132498038,0.025407550574120606,0.030961259003581078,0.03762289691146866
