panel,window,excision,n,dd_pass_NONE,dd_pass_here,dd_flip,dd_flip_share,p4b_NONE,p4b_here,p4b_flip,p4b_flip_share,p4a_NONE,p4a_here
U56,FULL,NONE,112,85,85,0,0.0,9,9,0,0.0,0,0
U56,FULL,SPYDD,112,85,83,16,0.14285714285714285,9,8,13,0.11607142857142858,0,0
U56,FULL,CRASH,112,85,83,16,0.14285714285714285,9,9,12,0.10714285714285714,0,0
U56,FULL,H1_20,112,85,83,16,0.14285714285714285,9,9,12,0.10714285714285714,0,0
U56,FULL,CAL20,112,85,83,16,0.14285714285714285,9,7,10,0.08928571428571429,0,0
U56,IS,NONE,112,92,92,0,0.0,11,11,0,0.0,0,0
U56,IS,SPYDD,112,92,92,0,0.0,11,11,0,0.0,0,0
U56,IS,CRASH,112,92,92,0,0.0,11,11,0,0.0,0,0
U56,IS,H1_20,112,92,92,0,0.0,11,11,0,0.0,0,0
U56,IS,CAL20,112,92,92,0,0.0,11,11,0,0.0,0,0
U56,OOS,NONE,112,85,85,0,0.0,10,10,0,0.0,2,2
U56,OOS,SPYDD,112,85,84,15,0.13392857142857142,10,9,15,0.13392857142857142,2,3
U56,OOS,CRASH,112,85,84,15,0.13392857142857142,10,12,14,0.125,2,4
U56,OOS,H1_20,112,85,84,15,0.13392857142857142,10,12,14,0.125,2,6
U56,OOS,CAL20,112,85,84,15,0.13392857142857142,10,11,13,0.11607142857142858,2,6
B136,FULL,NONE,112,80,80,0,0.0,10,10,0,0.0,6,6
B136,FULL,SPYDD,112,80,90,18,0.16071428571428573,10,10,12,0.10714285714285714,6,9
B136,FULL,CRASH,112,80,90,18,0.16071428571428573,10,13,11,0.09821428571428571,6,9
B136,FULL,H1_20,112,80,90,18,0.16071428571428573,10,13,11,0.09821428571428571,6,12
B136,FULL,CAL20,112,80,90,18,0.16071428571428573,10,12,10,0.08928571428571429,6,11
B136,IS,NONE,112,86,86,0,0.0,9,9,0,0.0,9,9
B136,IS,SPYDD,112,86,86,0,0.0,9,9,0,0.0,9,9
B136,IS,CRASH,112,86,86,0,0.0,9,9,0,0.0,9,9
B136,IS,H1_20,112,86,86,0,0.0,9,9,0,0.0,9,9
B136,IS,CAL20,112,86,86,0,0.0,9,9,0,0.0,9,9
B136,OOS,NONE,112,80,80,0,0.0,9,9,0,0.0,5,5
B136,OOS,SPYDD,112,80,95,17,0.15178571428571427,9,12,15,0.13392857142857142,5,20
B136,OOS,CRASH,112,80,95,17,0.15178571428571427,9,19,12,0.10714285714285714,5,18
B136,OOS,H1_20,112,80,95,17,0.15178571428571427,9,18,11,0.09821428571428571,5,14
B136,OOS,CAL20,112,80,95,17,0.15178571428571427,9,17,10,0.08928571428571429,5,16
SMALL,FULL,NONE,112,58,58,0,0.0,0,0,0,0.0,5,5
SMALL,FULL,SPYDD,112,58,59,15,0.13392857142857142,0,0,0,0.0,5,22
SMALL,FULL,CRASH,112,58,59,15,0.13392857142857142,0,0,0,0.0,5,11
SMALL,FULL,H1_20,112,58,59,15,0.13392857142857142,0,0,0,0.0,5,9
SMALL,FULL,CAL20,112,58,60,16,0.14285714285714285,0,0,0,0.0,5,23
SMALL,IS,NONE,112,59,59,0,0.0,0,0,0,0.0,20,20
SMALL,IS,SPYDD,112,59,59,0,0.0,0,0,0,0.0,20,20
SMALL,IS,CRASH,112,59,59,0,0.0,0,0,0,0.0,20,20
SMALL,IS,H1_20,112,59,59,0,0.0,0,0,0,0.0,20,20
SMALL,IS,CAL20,112,59,59,0,0.0,0,0,0,0.0,20,20
SMALL,OOS,NONE,112,58,58,0,0.0,0,0,0,0.0,0,0
SMALL,OOS,SPYDD,112,58,59,15,0.13392857142857142,0,0,0,0.0,0,19
SMALL,OOS,CRASH,112,58,59,15,0.13392857142857142,0,0,0,0.0,0,10
SMALL,OOS,H1_20,112,58,59,15,0.13392857142857142,0,0,0,0.0,0,19
SMALL,OOS,CAL20,112,58,60,16,0.14285714285714285,0,0,0,0.0,0,19
