explanator,rho_pooled,rho_U56,rho_B136
NTURN_raw_OPEN (the premise),0.07753220562209326,0.4923583662714097,-0.05718050065876151
DTURN = NTURN(OPEN) - NTURN(ELIG),0.20404988270156804,0.40131752305665347,0.23293807641633724
NEW_per_reb_OPEN (literal re-draws),0.3023006955591225,0.6146245059288538,0.1670619235836627
book turnover,0.002774005021196032,0.49064558629776023,-0.13372859025032938
N (slot count),0.2237862468072145,0.1981479908114797,0.3770776146211771
H (min hold),-0.2328671035911966,-0.5747135901738303,-0.018148850216015693
EDGE_OPEN_pp (the level itself),0.15820060089723012,0.16719367588932801,0.20816864295125162
mean_nsel (names actually held),0.1562929611463188,0.12892812466215983,0.36179746374602445
