fallback,floor,kept,obs_4b,null_4b_mean,pct_beaten_4b,obs_medS,null_medS_mean,pct_beaten_S,obs_medDD,null_medDD_mean,pct_beaten_DD
FB_NONE,0.1,13,0,0.467,0.2905,1.0166,0.9067,0.9295,-0.2383,-0.3072,0.9975
FB_NONE,0.25,10,0,0.533,0.2983,1.0166,0.9301,0.8695,-0.2383,-0.2984,0.987
FB_NONE,0.4,8,3,0.624,0.9557,1.059,0.9443,0.951,-0.2135,-0.295,0.998
FB_NONE,0.5,6,3,0.63,0.9547,1.059,0.9639,0.95,-0.2135,-0.2827,0.9905
FB_NONE,0.75,3,0,0.0,0.5,1.0274,0.9391,0.9935,-0.2247,-0.2983,0.9455
FB_NONE,0.9,0,0,0.0,0.5,,,0.0,,,0.0
FB_CASH,0.1,13,0,0.467,0.2905,0.9849,0.773,0.9925,-0.2271,-0.2654,0.949
FB_CASH,0.25,10,0,0.533,0.2983,0.9849,0.796,0.9875,-0.2271,-0.2581,0.876
FB_CASH,0.4,8,3,0.624,0.9557,1.0011,0.7984,0.996,-0.2,-0.2508,0.9475
FB_CASH,0.5,6,3,0.63,0.9547,1.0011,0.8398,0.9875,-0.2,-0.2425,0.9205
FB_CASH,0.75,3,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
FB_CASH,0.9,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
FB_SPY,0.1,13,0,0.467,0.2905,0.9849,0.8808,0.9925,-0.2611,-0.3284,0.999
FB_SPY,0.25,10,0,0.533,0.2983,0.9849,0.8895,0.9875,-0.2527,-0.3241,0.996
FB_SPY,0.4,8,3,0.624,0.9557,1.0011,0.8927,0.996,-0.2332,-0.3206,1.0
FB_SPY,0.5,6,3,0.63,0.9547,1.0011,0.9065,0.9875,-0.2332,-0.3134,0.996
FB_SPY,0.75,3,0,0.0,0.5,0.8769,0.8752,1.0,-0.3372,-0.3372,0.0
FB_SPY,0.9,0,0,0.0,0.5,0.8769,0.8769,1.0,-0.3372,-0.3372,0.0
FB_LIVE,0.1,13,0,0.467,0.2905,0.9849,0.7769,0.9925,-0.2271,-0.2654,0.949
FB_LIVE,0.25,10,0,0.533,0.2983,0.9849,0.7993,0.9875,-0.2271,-0.2581,0.876
FB_LIVE,0.4,8,3,0.624,0.9557,1.0011,0.8018,0.996,-0.2,-0.2508,0.9475
FB_LIVE,0.5,6,3,0.63,0.9547,1.0011,0.842,0.9875,-0.2,-0.2425,0.9205
FB_LIVE,0.75,3,0,0.0,0.5,1.0274,0.9391,0.9935,-0.1389,-0.1389,1.0
FB_LIVE,0.9,0,0,0.0,0.5,1.1061,1.1061,0.0,-0.1224,-0.1224,1.0
