bar,cost,leg,n_books,n_const,frac_const,n_first_to_last_EASIER,n_first_to_last_HARDER,leg_pass_rate,bind_share,bind_pre,bind_post,sole_binder
REC_FULL,0.0,L1_H1,45,45,1.0,0,0,0.9777777777777777,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223
REC_FULL,0.0,L2_H2,45,45,1.0,0,0,1.0,0.0,0.0,0.0,0.0
REC_FULL,0.0,L3_OOS,45,42,0.9333333333333333,0,3,0.9916666666666667,0.008333333333333333,0.0,0.011111111111111112,0.008333333333333333
REC_FULL,0.0,L4_DD,45,39,0.8666666666666667,6,0,0.9666666666666667,0.03333333333333333,0.13333333333333333,0.0,0.03333333333333333
REC_FULL,0.0,L5_CAGR,45,37,0.8222222222222222,2,0,0.8055555555555556,0.19444444444444445,0.18333333333333332,0.19814814814814816,0.19444444444444445
REC_FULL,10.0,L1_H1,45,45,1.0,0,0,0.9555555555555556,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.0375
REC_FULL,10.0,L2_H2,45,45,1.0,0,0,1.0,0.0,0.0,0.0,0.0
REC_FULL,10.0,L3_OOS,45,32,0.7111111111111111,0,10,0.9625,0.0375,0.0,0.05,0.025
REC_FULL,10.0,L4_DD,45,39,0.8666666666666667,6,0,0.9666666666666667,0.03333333333333333,0.13333333333333333,0.0,0.03333333333333333
REC_FULL,10.0,L5_CAGR,45,26,0.5777777777777777,3,0,0.7736111111111111,0.2263888888888889,0.19444444444444445,0.23703703703703705,0.21805555555555556
REC_FULL,25.0,L1_H1,45,45,1.0,0,0,0.8444444444444444,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.075
REC_FULL,25.0,L2_H2,45,45,1.0,0,0,0.9555555555555556,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.008333333333333333
REC_FULL,25.0,L3_OOS,45,15,0.3333333333333333,0,22,0.8791666666666667,0.12083333333333333,0.0,0.16111111111111112,0.059722222222222225
REC_FULL,25.0,L4_DD,45,39,0.8666666666666667,6,0,0.9666666666666667,0.03333333333333333,0.13333333333333333,0.0,0.027777777777777776
REC_FULL,25.0,L5_CAGR,45,17,0.37777777777777777,4,0,0.6791666666666667,0.32083333333333336,0.24444444444444444,0.34629629629629627,0.24305555555555555
WIN,0.0,L1_H1,45,45,1.0,0,0,0.9777777777777777,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.019444444444444445
WIN,0.0,L2_H2,45,45,1.0,0,0,1.0,0.0,0.0,0.0,0.0
WIN,0.0,L3_OOS,45,42,0.9333333333333333,0,3,0.9916666666666667,0.008333333333333333,0.0,0.011111111111111112,0.0
WIN,0.0,L4_DD,45,20,0.4444444444444444,6,16,0.8680555555555556,0.13194444444444445,0.13333333333333333,0.13148148148148148,0.125
WIN,0.0,L5_CAGR,45,34,0.7555555555555555,0,3,0.7583333333333333,0.24166666666666667,0.2222222222222222,0.24814814814814815,0.2263888888888889
WIN,10.0,L1_H1,45,45,1.0,0,0,0.9555555555555556,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.03888888888888889
WIN,10.0,L2_H2,45,45,1.0,0,0,1.0,0.0,0.0,0.0,0.0
WIN,10.0,L3_OOS,45,32,0.7111111111111111,0,10,0.9625,0.0375,0.0,0.05,0.0
WIN,10.0,L4_DD,45,19,0.4222222222222222,6,16,0.8305555555555556,0.16944444444444445,0.13333333333333333,0.1814814814814815,0.15555555555555556
WIN,10.0,L5_CAGR,45,29,0.6444444444444445,0,6,0.7277777777777777,0.2722222222222222,0.2222222222222222,0.28888888888888886,0.23194444444444445
WIN,25.0,L1_H1,45,45,1.0,0,0,0.8444444444444444,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.07916666666666666
WIN,25.0,L2_H2,45,45,1.0,0,0,0.9555555555555556,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.004166666666666667
WIN,25.0,L3_OOS,45,15,0.3333333333333333,0,22,0.8791666666666667,0.12083333333333333,0.0,0.16111111111111112,0.0
WIN,25.0,L4_DD,45,17,0.37777777777777777,4,17,0.7638888888888888,0.2361111111111111,0.13333333333333333,0.27037037037037037,0.14583333333333334
WIN,25.0,L5_CAGR,45,18,0.4,0,18,0.6083333333333333,0.39166666666666666,0.2722222222222222,0.43148148148148147,0.21666666666666667
