window,panel,book,grid,n_phases,n_reb_per_yr,win_RANGE_pp,full_RANGE_pp
3,U56,TOP05,W,5,52.426754205990974,3.5798120772939868,4.495073923136324
3,U56,TOP10,W,5,52.426754205990974,1.4264536250645712,1.93273132611289
3,U56,TOP20,W,5,52.426754205990974,1.1835977919486993,1.7502029261416752
3,U56,EWELIG,W,5,52.426754205990974,0.7907987590058507,1.1475253886324754
3,U56,BAND03,W,5,52.426754205990974,0.27646381926156494,0.4056741290803707
3,U56,TOP05,M,21,12.098481739844068,2.282761144530898,8.750528920919765
3,U56,TOP10,M,21,12.098481739844068,1.398740768540275,3.1510161408411683
3,U56,TOP20,M,21,12.098481739844068,0.7463869731360262,2.647372594519794
3,U56,EWELIG,M,21,12.098481739844068,0.522907378241456,1.7191699271327927
3,U56,BAND03,M,21,12.098481739844068,0.30957305384789,0.6810542789466467
3,U56,TOP05,Q,63,4.03282724661469,2.180709782216052,16.35406591410955
3,U56,TOP10,Q,63,4.03282724661469,1.6302797012676997,8.892827263627812
3,U56,TOP20,Q,63,4.03282724661469,0.8646408037247024,5.874646714612863
3,U56,EWELIG,Q,63,4.03282724661469,0.6595808189475463,4.229339229006923
3,U56,BAND03,Q,63,4.03282724661469,0.30542500711978704,3.48833503710524
3,U56,TOP05,K05,5,50.4,3.8178630885022073,4.005462327817401
3,U56,TOP10,K05,5,50.4,1.8297893849726918,2.1499790876989398
3,U56,TOP20,K05,5,50.4,1.1915022955196743,1.8145992199954488
3,U56,EWELIG,K05,5,50.4,0.6462081938046538,1.1218846326253917
3,U56,BAND03,K05,5,50.4,0.48820660645132463,0.725176390091864
3,U56,TOP05,K10,10,25.2,1.8440054313021523,6.260974026407794
3,U56,TOP10,K10,10,25.2,1.2370270977726925,2.9008664906579504
3,U56,TOP20,K10,10,25.2,0.948960644624286,2.2372841721967056
3,U56,EWELIG,K10,10,25.2,0.736605873573982,1.4176017508294336
3,U56,BAND03,K10,10,25.2,0.3867821873164816,0.9820050679406176
3,U56,TOP05,K21,21,11.999999999999996,2.0053829096548412,5.220226051973896
3,U56,TOP10,K21,21,11.999999999999996,1.1630858591843456,3.2326819052437727
3,U56,TOP20,K21,21,11.999999999999996,1.2021863454890305,2.7500052481717923
3,U56,EWELIG,K21,21,11.999999999999996,0.47662810085218155,2.6025599756003057
3,U56,BAND03,K21,21,11.999999999999996,0.2629038512120587,0.8890059891374129
3,U56,TOP05,K42,42,5.999999999999999,2.3900786294700946,9.755077371985156
3,U56,TOP10,K42,42,5.999999999999999,1.6727347061605826,5.752983584307646
3,U56,TOP20,K42,42,5.999999999999999,1.0270525259067576,4.264167504477335
3,U56,EWELIG,K42,42,5.999999999999999,0.6323722695284255,2.945323689082402
3,U56,BAND03,K42,42,5.999999999999999,0.2800656985001986,1.5152162489757046
