j,tape_end,worst_GROSS,smallest_nonGROSS,n_clone,all_GROSS
0,2026-09-17,0.003959420323454088,0.017514038025644885,9,True
1,2026-09-16,0.003968207885688635,0.018939083281776403,9,True
2,2026-09-15,0.003940127887518408,0.01749953966290807,9,True
3,2026-09-14,0.003943848018567175,0.018666590834437224,9,True
4,2026-09-11,0.003948524202004311,0.02002673561356816,9,True
5,2026-09-10,0.003961009134806126,0.02047119928701968,9,True
6,2026-09-09,0.003962222648499658,0.019730397905614927,9,True
7,2026-09-08,0.003962054261315906,0.020040973375790916,9,True
8,2026-09-04,0.003952131868372621,0.020160497366243924,9,True
9,2026-09-03,0.0039537865822967255,0.02095134013851374,9,True
10,2026-09-02,0.0039491240009279505,0.021113236448871087,9,True
11,2026-09-01,0.003945688635714539,0.021070297437375318,9,True
12,2026-08-31,0.003942035543264444,0.019980595014279068,9,True
13,2026-08-28,0.003936997131050779,0.019537362120609192,9,True
14,2026-08-27,0.003931373537573446,0.019380378156199862,9,True
15,2026-08-26,0.003912111917296013,0.01847333595371703,9,True
16,2026-08-25,0.003907778812892504,0.01848850575247707,9,True
17,2026-08-24,0.003932846612965335,0.019455396634208366,9,True
18,2026-08-21,0.0038756091216285427,0.0169316146899241,9,True
19,2026-08-20,0.003880626731203707,0.018695344961118465,9,True
20,2026-08-19,0.0038795405297753494,0.018700968342741486,9,True
21,2026-08-18,0.0038630294109804897,0.018013954111322672,9,True
22,2026-08-17,0.003884517503264018,0.017417671023149284,9,True
23,2026-08-14,0.003887841602912223,0.016376807687553008,9,True
24,2026-08-13,0.0038866827157895134,0.017125584845281816,9,True
