panel,gross,bps,N,CAGR,S,DD,H1,H2,IS_S,OOS_S,OOS_CAGR,OOS_DD,turn,p4a,p4b
U56,0.65,10.0,5,0.16088288845841436,1.004648898287204,-0.24087620617778804,1.2546482879535223,0.8094812686331092,1.278735750224318,0.8195732340839356,0.1351767450671717,-0.24087620617778793,6.691414094093525,False,False
U56,0.65,25.0,5,0.14929717847974433,0.9425713026287752,-0.24177616991645634,1.1877894584509419,0.7507110805860229,1.21336283050159,0.7593823681765784,0.12340353368590562,-0.24177616991645645,6.691414094093525,False,False
U56,0.65,50.0,5,0.13021845760678863,0.8383925043268297,-0.24327610948090372,1.0753519233868525,0.6522324658571219,1.1034255019299963,0.6585052925372629,0.10402518890213175,-0.2432761094809036,6.691414094093525,False,False
U56,1.0,10.0,5,0.24768620999702828,1.0132287842212926,-0.3460669940909792,1.2602449573675254,0.8207885722302126,1.2826910955720021,0.8313779266580696,0.20458641020838608,-0.3460669940909791,10.252086661510694,False,False
U56,1.0,25.0,5,0.22866354490242147,0.9515594103845797,-0.34723788078420226,1.1938558135349404,0.7623766261541637,1.2178146221097348,0.7715407629546858,0.18549213976847123,-0.34723788078420226,10.252086661510694,False,False
U56,1.0,50.0,5,0.19753749041833735,0.8480632668746103,-0.34918935860624034,1.0822087943625494,0.664494057459808,1.1087144653133982,0.6712516990196594,0.15427174212577843,-0.34918935860624045,10.252086661510694,False,False
U56,0.65,10.0,8,0.1519031989481625,1.1033244820076897,-0.19890366061832665,1.2579403443566917,0.9831527688187556,1.233326571865199,1.0161171835564593,0.14700210741822684,-0.19890366061832698,5.866766561743107,False,True
U56,0.65,25.0,8,0.14181501856391043,1.0389008165223852,-0.19969303750281475,1.188874403007898,0.9220316825511634,1.1655627565928284,0.9536985373762249,0.13662209566767247,-0.19969303750281464,5.866766561743107,False,True
U56,0.65,50.0,8,0.12517845314032328,0.9307389066129494,-0.20100866564362885,1.0727767693699133,0.8195048919031115,1.0517111923800702,0.8489514977425489,0.11951078482333344,-0.20100866564362874,5.866766561743107,False,False
U56,1.0,10.0,8,0.23586550610692236,1.1107871629205681,-0.28880360075547795,1.2636228643137402,0.9916976197452002,1.2382166849756822,1.0249803138318898,0.22676207912179125,-0.28880360075547806,8.993244847690315,False,False
U56,1.0,25.0,8,0.2193152262475544,1.0467314332864843,-0.2898652109245222,1.1950200707137881,0.9308876469151127,1.170927828193921,0.9628745650076304,0.20979771175280848,-0.2898652109245219,8.993244847690315,False,False
