panel,floor_musd,conv,comp,bps,pick_IS_Sharpe,pick_IS_dCAGR,pickSh_arm,pickSh_oosCAGR,pickSh_oosSharpe,pickSh_oosMaxDD,pickCG_arm,pickCG_oosCAGR,pickCG_oosSharpe,pickCG_oosMaxDD,const_band3_arm,const_band3_oosCAGR,const_band3_oosSharpe,const_band3_oosMaxDD,incumbent_200d_arm,incumbent_200d_oosCAGR,incumbent_200d_oosSharpe,incumbent_200d_oosMaxDD,donothing_NOGATE_arm,donothing_NOGATE_oosCAGR,donothing_NOGATE_oosSharpe,donothing_NOGATE_oosMaxDD
SMALL439,0.0,rw,FULL,0,band12,band12,band12,0.057402698191374224,0.4550466869224528,-0.38760354695802657,band12,0.057402698191374224,0.4550466869224528,-0.38760354695802657,band3,0.04707669245874646,0.39451737991909697,-0.3964542567475774,200d,0.046507467045281636,0.39486276949292853,-0.38621536487273844,NOGATE,0.04616062489396233,0.37639053312344145,-0.3434199246796451
SMALL439,0.0,rw,FULL,5,band12,band12,band12,0.053136526655954475,0.42736929064195983,-0.3910491166227019,band12,0.053136526655954475,0.42736929064195983,-0.3910491166227019,band3,0.04090427604147928,0.3529705817152659,-0.4019126790167592,200d,0.038925125246588754,0.3429047810713693,-0.39304852419510616,NOGATE,0.04240669025403676,0.35235258864659263,-0.3468655084250306
SMALL439,0.0,rw,FULL,10,band12,band12,band12,0.04888704224785223,0.3996977923715783,-0.3944758429366938,band12,0.04888704224785223,0.3996977923715783,-0.3944758429366938,band3,0.03476726856280088,0.3114374844852257,-0.4073227162649299,200d,0.03139636424374004,0.29095981782086194,-0.39980691311185357,NOGATE,0.03866578551765998,0.32832119713476365,-0.3502936762057103
SMALL439,0.0,rw,FULL,25,band12,band12,band12,0.03623807959860925,0.31673511632121776,-0.4046439631311889,band12,0.03623807959860925,0.31673511632121776,-0.4046439631311889,band3,0.01656672816155136,0.18696890407964945,-0.4232667052680953,200d,0.009127886131771623,0.13528981693967163,-0.41964145710116674,NOGATE,0.02752081320658606,0.2562779927308283,-0.3604745325115877
SMALL439,0.0,dg,FULL,0,band12,band12,band12,0.021079156700705814,0.4196420788260009,-0.12628384375525603,band12,0.021079156700705814,0.4196420788260009,-0.12628384375525603,band3,0.014776330315818154,0.31793148206782523,-0.11706228057819257,200d,0.014538537960067988,0.31446096387168226,-0.11372941957749683,NOGATE,0.03141443103219044,0.3446472523357797,-0.20966916630319887
SMALL439,0.0,dg,FULL,5,band12,band12,band12,0.019860216754205462,0.397123963085861,-0.12757887540206692,band12,0.019860216754205462,0.397123963085861,-0.12757887540206692,band3,0.013126907181968628,0.285453613445036,-0.11926318898801447,200d,0.012511505689635882,0.27433614537132184,-0.11646787041066942,NOGATE,0.029221437528474503,0.32457624645059807,-0.21197701223919707
SMALL439,0.0,dg,FULL,10,band12,band12,band12,0.01864269887729808,0.3746032044759936,-0.12887201540613036,band12,0.01864269887729808,0.3746032044759936,-0.12887201540613036,band3,0.011480107647421578,0.2529696256004786,-0.12145868143570437,200d,0.010488438734623573,0.2342067283912258,-0.11919796501094637,NOGATE,0.027033005525108678,0.30450445820972266,-0.21427820921876617
SMALL439,0.0,dg,FULL,25,band12,band12,band12,0.014998661465120078,0.3070315099798812,-0.13274011276912034,band12,0.014998661465120078,0.3070315099798812,-0.13274011276912034,band3,0.006555409847624594,0.15549892635381193,-0.12801279440183688,200d,0.004442953913557535,0.11382380272198889,-0.1273383628244079,NOGATE,0.020494985817709033,0.24428871161050622,-0.22114209511898641
SMALL439,0.0,rw,TREND,0,band20,band20,band20,0.11308465013870794,0.7546517017016158,-0.34384644782274576,band20,0.11308465013870794,0.7546517017016158,-0.34384644782274576,band3,0.08978169469171027,0.6277680239414172,-0.367661894551632,200d,0.08546025218093867,0.6046557471857641,-0.37074402137688456,NOGATE,0.10295173945013114,0.6473182186991797,-0.35992703250466895
SMALL439,0.0,rw,TREND,5,band20,band20,band20,0.11127286679488702,0.7443225873741423,-0.3455636737104132,band20,0.11127286679488702,0.7443225873741423,-0.3455636737104132,band3,0.08529287125933882,0.6013925425972277,-0.3722233883721474,200d,0.07962982535473873,0.5700702532337194,-0.37659849774234955,NOGATE,0.10192361644081416,0.6419904446890732,-0.3607959660009905
SMALL439,0.0,rw,TREND,10,band20,band20,band20,0.10946392308822905,0.7339934403950344,-0.34727658752589385,band20,0.10946392308822905,0.7339934403950344,-0.34727658752589385,band3,0.08082201079563234,0.5750092709182847,-0.37675263629148525,200d,0.07382991597741184,0.535474046054103,-0.3823994376738248,NOGATE,0.10089643214031607,0.6366624355474833,-0.36166373582084044
SMALL439,0.0,rw,TREND,25,band20,band20,band20,0.10405408672802197,0.7030068425860828,-0.35238956097577545,band20,0.10405408672802197,0.7030068425860828,-0.35238956097577545,band3,0.06751650996241265,0.4958261821428166,-0.39014913159496745,200d,0.05661174004127267,0.43164798619867045,-0.39948582967311086,NOGATE,0.09782050310343715,0.6206770724346838,-0.36426007858274967
SMALL439,0.0,dg,TREND,0,band20,band20,band20,0.048254100175458614,0.6438862362907946,-0.1701309403261989,band20,0.048254100175458614,0.6438862362907946,-0.1701309403261989,band3,0.04137059832439549,0.6070527207999408,-0.14326046128378256,200d,0.04099217384036735,0.6031258904393557,-0.13779087867563033,NOGATE,0.10295173945013114,0.6473182186991797,-0.35992703250466895
SMALL439,0.0,dg,TREND,5,band20,band20,band20,0.047503839405809156,0.6346812775271178,-0.17097150139774442,band20,0.047503839405809156,0.6346812775271178,-0.17097150139774442,band3,0.03987218581424812,0.5867725240158825,-0.14515041480789803,200d,0.03905254725036844,0.5767805492941736,-0.14025248487696884,NOGATE,0.10192361644081416,0.6419904446890732,-0.3607959660009905
