panel,stat,repair,rho,orders
U56,CAGR,P_HALF,,False
U56,CAGR,P_OVERLAP,,False
U56,CAGR,P_QUARTERS,-0.37905695039804044,False
U56,CAGR,P_BLOCK,0.3870177587262707,False
U56,VOL,P_HALF,,False
U56,VOL,P_OVERLAP,,False
U56,VOL,P_QUARTERS,0.26760563380281693,False
U56,VOL,P_BLOCK,0.24494794856093077,False
U56,SHARPE,P_HALF,,False
U56,SHARPE,P_OVERLAP,,False
U56,SHARPE,P_QUARTERS,0.2608695652173913,False
U56,SHARPE,P_BLOCK,-0.2516840171463564,False
U56,MAXDD,P_HALF,,False
U56,MAXDD,P_OVERLAP,,False
U56,MAXDD,P_QUARTERS,0.23759951010410285,False
U56,MAXDD,P_BLOCK,0.16166564605021433,False
U56,ULCER,P_HALF,,False
U56,ULCER,P_OVERLAP,,False
U56,ULCER,P_QUARTERS,0.24862216778934476,False
U56,ULCER,P_BLOCK,0.6264543784445805,True
U56,CALMAR,P_HALF,,False
U56,CALMAR,P_OVERLAP,,False
U56,CALMAR,P_QUARTERS,-0.04225352112676056,False
U56,CALMAR,P_BLOCK,-0.6276791181873852,False
B136,CAGR,P_HALF,,False
B136,CAGR,P_OVERLAP,,False
B136,CAGR,P_QUARTERS,0.23759951010410285,False
B136,CAGR,P_BLOCK,0.9050826699326393,True
B136,VOL,P_HALF,,False
B136,VOL,P_OVERLAP,,False
B136,VOL,P_QUARTERS,0.34843845682792407,False
B136,VOL,P_BLOCK,0.44274341702388237,False
B136,SHARPE,P_HALF,,False
B136,SHARPE,P_OVERLAP,,False
B136,SHARPE,P_QUARTERS,0.24433557868952846,False
B136,SHARPE,P_BLOCK,0.44213104715248003,False
B136,MAXDD,P_HALF,,False
B136,MAXDD,P_OVERLAP,,False
B136,MAXDD,P_QUARTERS,-0.04531537048377219,False
B136,MAXDD,P_BLOCK,0.06919779546846296,False
B136,ULCER,P_HALF,,False
B136,ULCER,P_OVERLAP,,False
B136,ULCER,P_QUARTERS,-0.2737293325168402,False
B136,ULCER,P_BLOCK,0.6013472137170851,True
B136,CALMAR,P_HALF,,False
B136,CALMAR,P_OVERLAP,,False
B136,CALMAR,P_QUARTERS,0.43478260869565216,False
B136,CALMAR,P_BLOCK,0.5211267605633803,True
SMALL,CAGR,P_HALF,,False
SMALL,CAGR,P_OVERLAP,,False
SMALL,CAGR,P_QUARTERS,0.2088181261481935,False
SMALL,CAGR,P_BLOCK,0.4439681567666871,False
SMALL,VOL,P_HALF,,False
SMALL,VOL,P_OVERLAP,,False
SMALL,VOL,P_QUARTERS,0.07164727495407225,False
SMALL,VOL,P_BLOCK,0.39436619718309857,False
SMALL,SHARPE,P_HALF,,False
SMALL,SHARPE,P_OVERLAP,,False
SMALL,SHARPE,P_QUARTERS,0.23453766074709123,False
SMALL,SHARPE,P_BLOCK,0.3410900183710961,False
SMALL,MAXDD,P_HALF,,False
SMALL,MAXDD,P_OVERLAP,,False
SMALL,MAXDD,P_QUARTERS,0.03796693202694427,False
SMALL,MAXDD,P_BLOCK,0.32455603184323334,False
SMALL,ULCER,P_HALF,,False
SMALL,ULCER,P_OVERLAP,,False
SMALL,ULCER,P_QUARTERS,0.3631353337415799,False
SMALL,ULCER,P_BLOCK,0.16656460502143294,False
SMALL,CALMAR,P_HALF,,False
SMALL,CALMAR,P_OVERLAP,,False
SMALL,CALMAR,P_QUARTERS,0.33557868952847514,False
SMALL,CALMAR,P_BLOCK,0.03796693202694427,False
