panel,gross,m,cost_bps,CAGR,Sharpe,MaxDD,Calmar,H1,H2,IS_CAGR,IS_Sharpe,IS_Calmar,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,legs,pass4a,pass4b,L_H1,L_H2,L_OOS,L_DD,L_CAGR,dCAGR,dSharpe,cut,turnover_yr,mean_risk_gross,dgross_rel,act_rate,mean_stale_w,mean_gap_days,pp_per_1pct,clears_bar
U56,0.75,0,0.0,0.12014999456189335,1.3078729412435246,-0.14765004422980466,0.8137484495086921,1.3431232040383605,1.284150948562567,0.10626275308642685,1.2287390131430878,1.1884268750034246,-0.0894146331772585,0.13168913356431755,1.3693466954314062,-0.14765004422980466,11111,False,True,True,True,True,True,True,0.0,0.0,0.0,3.506382942083227,0.6560925471605975,0.0,1.0,0.011473229537298223,4.818833162743091,,False
U56,0.75,0,10.0,0.1162295339930286,1.2686753146710161,-0.14809080759214654,0.7848531308785462,1.302764164743885,1.2457435666979828,0.10237759674066704,1.187187051834311,1.1058366340986947,-0.09257931378273543,0.12773946456006335,1.3318413815124672,-0.14809080759214643,11111,False,True,True,True,True,True,True,0.0,0.0,0.0,3.506382942083227,0.6560925471605975,0.0,1.0,0.011473229537298223,4.818833162743091,,False
U56,0.75,0,25.0,0.11037345513700925,1.209765685566478,-0.14875179387181792,0.7419974728648989,1.2421037770489964,1.1880255426552884,0.09657432667716592,1.124749529084998,0.983502359682811,-0.09819430093519255,0.12183969460699817,1.275468963789105,-0.14875179387181792,11111,False,True,True,True,True,True,True,0.0,0.0,0.0,3.506382942083227,0.6560925471605975,0.0,1.0,0.011473229537298223,4.818833162743091,,False
U56,0.75,0,50.0,0.10067860481310942,1.111339888951081,-0.14985301432639242,0.6718490466519611,1.1407447040222283,1.0915969990562207,0.08696709885997245,1.0204653620097097,0.7785733423801011,-0.11170058634953228,0.11207234887057682,1.181260845927782,-0.14985301432639275,11110,False,False,True,True,True,True,False,0.0,0.0,0.0,3.506382942083227,0.6560925471605975,0.0,1.0,0.011473229537298223,4.818833162743091,,False
U56,0.75,1,0.0,0.1203207268717974,1.3077716062987401,-0.150190128655869,0.8011227365514052,1.3436180797589603,1.283425085013725,0.1065327325726757,1.22961492613738,1.1949274375502208,-0.08915414377887554,0.131776444263501,1.3685163438778092,-0.1501901286558689,11111,False,True,True,True,True,True,True,0.00017073230990405364,-0.00010133494478448135,0.04690936085906883,3.3419007593429613,0.6565940927258097,0.0007644433203559675,0.6820040899795501,0.011422996299418356,7.061561561561562,0.0036396213202944663,False
U56,0.75,1,10.0,0.1165830848081224,1.2704378518453636,-0.1506161523880425,0.7740410504429935,1.3054643607601364,1.2466001120015482,0.10283986452735627,1.1901719711736358,1.1142765831769594,-0.09229294241663533,0.12800161338414795,1.3326960653347555,-0.1506161523880425,11111,False,True,True,True,True,True,True,0.00035355081509380604,0.0017625371743474894,0.04690936085906883,3.3419007593429613,0.6565940927258097,0.0007644433203559675,0.6820040899795501,0.011422996299418356,7.061561561561562,0.007536892607767332,False
U56,0.75,1,25.0,0.11099888394756352,1.2143234696893608,-0.15125505270401984,0.7338524033624798,1.2481103495844583,1.1912558642277742,0.09732254829146858,1.130896355883554,0.9950034015878595,-0.09781127193752104,0.12236185897537344,1.2788512878492007,-0.15125505270401984,11111,False,True,True,True,True,True,True,0.0006254288105542738,0.004557784122882769,0.04690936085906883,3.3419007593429613,0.6565940927258097,0.0007644433203559675,0.6820040899795501,0.011422996299418356,7.061561561561562,0.013332707994749024,False
U56,0.75,1,50.0,0.10175094876153157,1.1205527984798191,-0.15231952581122754,0.6680098839569225,1.152254826084222,1.0987824017321306,0.08818535460459365,1.0318750123220035,0.7937878809343581,-0.11109435747594398,0.11302194351647477,1.1888544047501746,-0.15231952581122776,11110,False,False,True,True,True,True,False,0.0010723439484221498,0.0092129095287381,0.04690936085906883,3.3419007593429613,0.6565940927258097,0.0007644433203559675,0.6820040899795501,0.011422996299418356,7.061561561561562,0.022859913859065877,False
U56,0.75,2,0.0,0.12046378208404174,1.3055612042887115,-0.1501901286558689,0.8020752306568748,1.3277228413133468,1.293024223863241,0.10563055813146449,1.216548722066779,1.184628117379938,-0.08916769455471762,0.1327985145175592,1.3744361381056358,-0.1501901286558689,11111,False,True,True,True,True,True,True,0.0003137875221483899,-0.002311736954813126,0.10993276629571114,3.1209165655679234,0.6573620228306344,0.0019349033540021487,0.4785276073619632,0.014859309735252438,10.070663811563168,0.0028543584658310547,False
U56,0.75,2,10.0,0.11697187190739355,1.2707181138089974,-0.15061615238804227,0.7766223612327531,1.292432572279437,1.2583814206151145,0.10220614898569069,1.1799889953608322,1.1101665351004544,-0.09206379921769348,0.12925025735317486,1.3408179104940867,-0.15061615238804238,11111,False,True,True,True,True,True,True,0.0007423379143649544,0.0020427991379812216,0.10993276629571114,3.1209165655679234,0.6573620228306344,0.0019349033540021487,0.4785276073619632,0.014859309735252438,10.070663811563168,0.0067526538208646505,False
