panel,phase,n_calendarQ,n_63bar,d
U56,0,71,70,-1
U56,13,71,71,0
U56,26,71,71,0
U56,39,71,70,-1
U56,52,71,70,-1
B136,0,71,70,-1
B136,13,71,71,0
B136,26,71,71,0
B136,39,71,70,-1
B136,52,71,70,-1
SMALL439,0,63,62,-1
SMALL439,13,63,63,0
SMALL439,26,63,63,0
SMALL439,39,63,62,-1
SMALL439,52,63,62,-1
