claim_set,bar,acted,cells,picks,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,leg,CAGR,Sharpe,MaxDD,keep4a,fail4b,keep4b
ALL,1.0,3.0,6.0,U56/STANDDOWN/U56/STANDDOWN/U56/STANDDOWN,0.10941238572889489,1.1966346767376148,-0.1505622576228276,WF-B_OOS,,,,,,
ALL,2.0,0.0,6.0,STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN,0.09447597045404743,1.2746660728287855,-0.12054945176473153,WF-B_OOS,,,,,,
2PANEL,1.0,3.0,6.0,U56/STANDDOWN/U56/STANDDOWN/U56/STANDDOWN,0.10941238572889489,1.1966346767376148,-0.1505622576228276,WF-B_OOS,,,,,,
2PANEL,2.0,0.0,6.0,STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN,0.09447597045404743,1.2746660728287855,-0.12054945176473153,WF-B_OOS,,,,,,
3PANEL,1.0,3.0,6.0,U56/STANDDOWN/U56/STANDDOWN/U56/STANDDOWN,0.10941238572889489,1.1966346767376148,-0.1505622576228276,WF-B_OOS,,,,,,
3PANEL,2.0,0.0,6.0,STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN,0.09447597045404743,1.2746660728287855,-0.12054945176473153,WF-B_OOS,,,,,,
NESTED_PAIR,1.0,0.0,6.0,STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN,0.09447597045404743,1.2746660728287855,-0.12054945176473153,WF-B_OOS,,,,,,
NESTED_PAIR,2.0,0.0,6.0,STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN,0.09447597045404743,1.2746660728287855,-0.12054945176473153,WF-B_OOS,,,,,,
NZ,1.0,3.0,6.0,U56/STANDDOWN/U56/STANDDOWN/U56/STANDDOWN,0.10941238572889489,1.1966346767376148,-0.1505622576228276,WF-B_OOS,,,,,,
NZ,2.0,0.0,6.0,STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN,0.09447597045404743,1.2746660728287855,-0.12054945176473153,WF-B_OOS,,,,,,
ALWAYS-ACT (778's control),,,,-,0.13000863466229462,1.1567155016017368,-0.18404883377059167,WF-B_OOS,,,,,,
RULES v2 U56 (live book),,,,-,0.09447597045404743,1.2746660728287855,-0.12054945176473153,WF-B_OOS,,,,,,
SPY,,,,-,0.15237187725667578,0.872122672456382,-0.33717256775620263,WF-B_OOS,,,,,,
ALL,1.0,,,,,,,WF-B_KEEP,0.10104592167342163,1.1543939652991322,-0.1505622576228277,False,CAGR,False
ALL,2.0,,,,,,,WF-B_KEEP,0.08613208348721235,1.199806892667932,-0.12054945176473186,False,CAGR,False
2PANEL,1.0,,,,,,,WF-B_KEEP,0.10104592167342163,1.1543939652991322,-0.1505622576228277,False,CAGR,False
2PANEL,2.0,,,,,,,WF-B_KEEP,0.08613208348721235,1.199806892667932,-0.12054945176473186,False,CAGR,False
3PANEL,1.0,,,,,,,WF-B_KEEP,0.10104592167342163,1.1543939652991322,-0.1505622576228277,False,CAGR,False
3PANEL,2.0,,,,,,,WF-B_KEEP,0.08613208348721235,1.199806892667932,-0.12054945176473186,False,CAGR,False
NESTED_PAIR,1.0,,,,,,,WF-B_KEEP,0.08613208348721235,1.199806892667932,-0.12054945176473186,False,CAGR,False
NESTED_PAIR,2.0,,,,,,,WF-B_KEEP,0.08613208348721235,1.199806892667932,-0.12054945176473186,False,CAGR,False
NZ,1.0,,,,,,,WF-B_KEEP,0.10104592167342163,1.1543939652991322,-0.1505622576228277,False,CAGR,False
NZ,2.0,,,,,,,WF-B_KEEP,0.08613208348721235,1.199806892667932,-0.12054945176473186,False,CAGR,False
