kind,key,key_val,q,k_a,n_a,k_b,n_b,bind_a,bind_b,tied_a,tied_b,unique,agree,d_joint,d_rate
MATCHED-CONC,conc,0.25,0.75,20,5.0,100,25.0,H2,H2,3,3,False,True,0.0,0.06666666666666667
MATCHED-CONC,conc,0.25,0.75,40,10.0,80,20.0,H2,H1,4,2,False,False,0.0,0.09999999999999999
MATCHED-CONC,conc,0.25,0.75,40,10.0,100,25.0,H2,H2,4,3,False,True,0.0,0.05
MATCHED-CONC,conc,0.25,0.75,80,20.0,100,25.0,H1,H2,2,3,False,False,0.0,0.05
MATCHED-CONC,conc,0.25,1.0,20,5.0,40,10.0,H1,H1,4,5,False,True,0.0,0.016666666666666666
MATCHED-CONC,conc,0.25,1.0,20,5.0,80,20.0,H1,H1,4,5,False,True,0.0,0.016666666666666666
MATCHED-CONC,conc,0.25,1.0,20,5.0,100,25.0,H1,H1,4,5,False,True,0.0,0.016666666666666666
MATCHED-CONC,conc,0.25,1.0,40,10.0,80,20.0,H1,H1,5,5,False,True,0.0,0.0
MATCHED-CONC,conc,0.25,1.0,40,10.0,100,25.0,H1,H1,5,5,False,True,0.0,0.0
MATCHED-CONC,conc,0.25,1.0,80,20.0,100,25.0,H1,H1,5,5,False,True,0.0,0.0
MATCHED-CONC,conc,0.5,0.0,20,10.0,40,20.0,H2,H2,1,1,True,True,0.08333333333333337,0.06666666666666665
MATCHED-CONC,conc,0.5,0.0,20,10.0,80,40.0,H2,H1,1,5,False,False,0.41666666666666663,0.18333333333333332
MATCHED-CONC,conc,0.5,0.0,20,10.0,100,50.0,H2,H1,1,5,False,False,0.41666666666666663,0.18333333333333332
MATCHED-CONC,conc,0.5,0.0,40,20.0,80,40.0,H2,H1,1,5,False,False,0.5,0.11666666666666667
MATCHED-CONC,conc,0.5,0.0,40,20.0,100,50.0,H2,H1,1,5,False,False,0.5,0.11666666666666667
MATCHED-CONC,conc,0.5,0.0,80,40.0,100,50.0,H1,H1,5,5,False,True,0.0,0.0
MATCHED-CONC,conc,0.5,0.25,20,10.0,40,20.0,H2,H2,1,1,True,True,0.16666666666666669,0.21666666666666665
MATCHED-CONC,conc,0.5,0.25,20,10.0,80,40.0,H2,H2,1,2,False,True,0.25,0.2833333333333334
