book,H,n_IS,IS_share,n_OOS,OOS_share
K1,756,60,0.0,80,0.25
K1,1260,36,0.027777777777777776,56,0.6428571428571429
K2,756,60,0.0,80,0.2375
K2,1260,36,0.16666666666666666,56,0.6785714285714286
K3,756,60,0.0,80,0.675
K3,1260,36,0.0,56,1.0
K4,756,60,0.25,80,0.625
K4,1260,36,0.3055555555555556,56,0.9107142857142857
K5,756,60,0.25,80,0.5375
K5,1260,36,0.027777777777777776,56,0.9642857142857143
K6,756,60,0.016666666666666666,80,0.6
K6,1260,36,0.027777777777777776,56,1.0
K7,756,60,0.0,80,0.0125
K7,1260,36,0.0,56,0.0
K8,756,60,0.05,80,0.6875
K8,1260,36,0.0,56,1.0
R1,756,60,0.16666666666666666,80,0.425
R1,1260,36,0.0,56,0.7142857142857143
R2,756,60,0.0,80,0.375
R2,1260,36,0.19444444444444445,56,0.48214285714285715
R3,756,60,0.2,80,0.5
R3,1260,36,0.8611111111111112,56,1.0
R4,756,60,0.15,80,0.1625
R4,1260,36,0.6944444444444444,56,0.7142857142857143
