panel,ladder,fold_mean,fold_se,span_width,n_rungs
U56,GROSS,0.003232449630460787,0.0007610986263803639,0.0016782049114916209,4
U56,N,0.38077198445487775,0.08007029353041334,0.07139196438447071,6
U56,H,0.49214809218473826,0.055716172754919496,0.10301707822260453,6
U56,MAXVOL,0.23758798637088516,0.027664532578474798,0.07130749799406155,4
B135,GROSS,0.005491131145867701,0.0016088901103994398,0.003959420323454088,4
B135,N,0.3752509012886113,0.07819587595451842,0.037118821419834136,6
B135,H,0.5236487875300543,0.05559899114050261,0.047839561206169945,6
B135,MAXVOL,0.30837940434191075,0.03051701996680678,0.024715995499724697,4
SMALL663,GROSS,0.007963833281505678,0.0020579975828900433,0.0021254263868755174,4
SMALL663,N,0.4721114429613502,0.04627211735887856,0.033875592858770565,6
SMALL663,H,0.9500242199412016,0.0957987461008004,0.2771900124638812,6
SMALL663,MAXVOL,0.47634396861729167,0.05276208711868411,0.11877154206296614,4
