percentile,n_fire,fire_rate,agree_with_incumbent,kappa,n_both,n_gap_only,n_res_only,n_neither
50.0,18,0.25,0.6944444444444444,0.15384615384615363,6,12,10,44
75.0,1,0.013888888888888888,0.7638888888888888,-0.02684563758389323,0,1,16,55
90.0,0,0.0,0.7777777777777778,0.0,0,0,16,56
95.0,0,0.0,0.7777777777777778,0.0,0,0,16,56
97.5,0,0.0,0.7777777777777778,0.0,0,0,16,56
99.0,0,0.0,0.7777777777777778,0.0,0,0,16,56
