panel,cadence,p4b_REC,p4b_DISJ,p4b_TWOLEG,ratio_DISJ_over_REC,ratio_TWOLEG_over_REC
B136,M,0.08,0.045,0.085,0.5625,1.0625
B136,Q,0.015,0.02,0.025,1.3333333333333335,1.6666666666666667
B136,W,0.0,0.0,0.0,,
SMALL663,M,0.0,0.0,0.0,,
SMALL663,Q,0.0,0.0,0.0,,
SMALL663,W,0.0,0.0,0.0,,
U56,M,0.405,0.225,0.405,0.5555555555555556,1.0
U56,Q,0.07,0.06,0.07,0.857142857142857,1.0
U56,W,0.0,0.0,0.0,,
