panel,gross,CAGR,Sharpe,MaxDD,oos,turnover,gross_mean,pass_4b,fail_4b
U56,0.75,0.15781438521655367,1.152200994598872,-0.19127563591226437,1.1831862943616593,2.754546768370398,0.7503304672603365,True,-
U56,0.65,0.13653398030979447,1.1519034241955985,-0.16728468172913113,1.1827877869639085,2.400892495841714,0.6504062478825999,True,-
U56,0.55,0.11530117861913691,1.1515601555336155,-0.14291446302138788,1.1823471050826522,2.046875363435272,0.5504477044719367,True,-
U56,0.45,0.09413087722886404,1.1511737475287,-0.1180941619097664,1.1818668658003495,1.690204902856425,0.45045344505271934,False,CAGR
U56,0.35,0.07303735888192886,1.1507490595290626,-0.09276262093657006,1.1813477523963065,1.3286454806019627,0.3504220786896619,False,CAGR
U56,0.25,0.05203388300938783,1.150288100416623,-0.0669143668821447,1.1807936954034277,0.9603857769507036,0.2503522148555293,False,CAGR
B135,0.75,0.16184809643572629,1.0715348935832012,-0.20740302267849509,1.024015074035567,3.1119701405134976,0.7503340404679465,False,DD
B135,0.65,0.14017945665321108,1.070730888190686,-0.1815398564875792,1.023093481402272,2.711113052691753,0.650411564034364,True,-
B135,0.55,0.11850493268274143,1.069879867690879,-0.15513526976429926,1.0221265112159883,2.310268404566577,0.550454553459804,True,-
B135,0.45,0.09684383322267709,1.0689863601824543,-0.1281841567538472,1.0211188955255317,1.9066572791194019,0.45046135846447044,False,CAGR
B135,0.35,0.075214363795848,1.0680543891343213,-0.10068113078456065,1.020073127109875,1.4978942484847622,0.35043033036195986,False,CAGR
B135,0.25,0.05363374667682996,1.0670882243007793,-0.07262085812399022,1.0189925547652814,1.0819081596335092,0.2503598211724525,False,CAGR
SMALL663,0.75,0.07874421355849703,0.5072986475097554,-0.35814054180328136,0.4534302580652865,3.9372700403757914,0.7500849172533222,False,"H1,H2,OOS,DD,CAGR"
SMALL663,0.65,0.06986196257218169,0.5068516743429772,-0.3166477046397893,0.4529902531068629,3.4219060619737003,0.6501135152451671,False,"H1,H2,OOS,DD,CAGR"
SMALL663,0.55,0.06044569311626957,0.5063892997069884,-0.27332084801074574,0.4525410968837966,2.907920441422951,0.5501348375275658,False,"H1,H2,OOS,DD,CAGR"
SMALL663,0.45,0.0505153209185647,0.5059131428140989,-0.22811096489778482,0.4520840558036506,2.392663148770202,0.45014612473698584,False,"H1,H2,OOS,DD,CAGR"
SMALL663,0.35,0.0400906113882582,0.5054232469105441,-0.1809676143303226,0.45161823319396205,1.8738831765179953,0.3501446450939738,False,"H1,H2,OOS,CAGR"
SMALL663,0.25,0.029191545782957684,0.5049207609070725,-0.1318390223509459,0.45114586804116835,1.3493710024420356,0.2501276904603929,False,"H1,H2,OOS,CAGR"
