family,level,sense,source,rate_U56,rate_B136,rate_SMALL439,spread,artefact
BREADTH,0.05,ge,census,1.0,0.999098896147781,0.9997458057956279,0.0009011038522189763,False
BREADTH,0.187,ge,census,0.9740932642487047,0.9756701959900879,0.9697508896797153,0.0059193063103725185,False
BREADTH,0.2,ge,both,0.9731921603964857,0.9725163325073215,0.9631418403660397,0.010050320030446036,False
BREADTH,0.3,ge,both,0.9375985582338364,0.9409776976796576,0.8866293848500254,0.05434831282963215,False
BREADTH,0.34,ge,census,0.9173237215589096,0.9249831043027709,0.8431621759023894,0.08182092840038147,False
BREADTH,0.4,ge,both,0.8898400540662311,0.8997521964406398,0.7602948652770717,0.13945733116356807,False
BREADTH,0.5,ge,both,0.8438837576030638,0.8580761432755125,0.5541433655312659,0.30393277774424665,False
BREADTH,0.58,ge,census,0.7974769092137869,0.8055868438837576,0.33451957295373663,0.47106727093002093,True
BREADTH,0.6,ge,ladder,0.7832845235413382,0.7898175264699256,0.28088459583121506,0.5089329306387106,True
BREADTH,0.675,ge,census,0.6956521739130435,0.694300518134715,0.18301982714794102,0.5126323467651024,True
BREADTH,0.75,ge,census,0.5649921153412931,0.5330029285875197,0.11362480935434673,0.4513673059869464,True
CORR,0.088,le,census,0.0,0.011263798152737103,0.1009150991357397,0.1009150991357397,False
CORR,0.2,le,census,0.170308628069385,0.20184726289704888,0.8111337061514997,0.6408250780821148,True
CORR,0.3,le,ladder,0.533678756476684,0.4953818427573778,0.9372140315200813,0.4418321887627035,True
CORR,0.3436,le,census,0.6517233611173687,0.6546519486370804,0.9588205388917133,0.30709717777434453,False
CORR,0.4,le,ladder,0.7839603514305024,0.7679657580536157,0.9799186578546009,0.2119528998009852,False
CORR,0.426,le,census,0.8051362919576481,0.8001802207704438,0.9921199796644636,0.19193975889401982,False
CORR,0.5,le,both,0.8968236089209282,0.8824059472854247,1.0,0.11759405271457535,False
CORR,0.6,le,ladder,0.9864834422167155,0.9682360892092814,1.0,0.03176391079071861,False
CORR,0.7,le,ladder,1.0,0.9963955845911241,1.0,0.003604415408875905,False
CORR,0.75,le,census,1.0,0.9997747240369452,1.0,0.00022527596305477182,False
CORR,0.931,le,census,1.0,1.0,1.0,0.0,False
DISP,0.06,le,ladder,0.43883757603063756,0.45618382518585265,0.0,0.45618382518585265,True
DISP,0.062,le,census,0.48118945708492905,0.5052939851317865,0.0,0.5052939851317865,True
DISP,0.08,le,ladder,0.7506195088984006,0.800856048659608,0.001525165226232842,0.7993308834333752,True
DISP,0.1,le,ladder,0.9096643388150484,0.9321919351205227,0.035841382816471784,0.8963505523040509,True
DISP,0.14,le,ladder,0.9853570624014417,0.9907636855147556,0.6067615658362989,0.38400211967845665,False
DISP,0.2,le,ladder,0.9986483442216716,0.9993241721108358,0.9206914082358922,0.07863276387494356,False
DISP,0.438,le,census,1.0,1.0,1.0,0.0,False
VOL20,0.2,le,both,0.6089209281369677,0.4836674926785312,0.0,0.6089209281369677,True
VOL20,0.25,le,ladder,0.8164000901103852,0.7411579184501014,0.004575495678698526,0.8118245944316866,True
VOL20,0.3,le,ladder,0.8984005406623113,0.8652849740932642,0.11692933401118455,0.7814712066511268,True
VOL20,0.383,le,census,0.9675602613201172,0.9612525343545844,0.5259278088459584,0.44163245247415883,True
VOL20,0.4,le,ladder,0.969362469024555,0.9659833295787339,0.5991357397051347,0.37022672931942036,False
VOL20,0.6,le,both,0.9941428249605767,0.9932417211083577,0.9580579562785968,0.03608486868197991,False
VOL20,0.75,le,census,0.9954944807389051,0.9950439288127957,0.9875444839857651,0.00794999675314001,False
VOL20,0.959,le,census,0.9979725163325073,0.9970714124802883,0.9936451448906964,0.0043273714418108344,False
