panel,stat,nt_med,mab_med,nt_pos,nt_n,mab_pos,mab_n,same_sign
U56,MaxDD,96.53429346565379,-22.665989415496803,4,4,0,3,False
U56,Sharpe,0.03644531741768009,0.0264688418809349,4,4,3,3,True
U56,CAGR,0.13499732979576073,0.4101824214904459,3,4,3,3,True
U56,turn,-5.3007728526164595,-1.4597104044078417,0,4,0,3,True
B136,MaxDD,-20.04760711796005,2.220446049250313e-12,1,4,2,3,False
B136,Sharpe,0.0350599082657857,0.005713395779977759,4,4,2,3,True
B136,CAGR,0.6407669891980716,0.07459221718344455,4,4,2,3,True
B136,turn,-7.4042094919398815,-0.2267003249775179,0,4,0,3,True
SMALL439,MaxDD,92.78944632951979,-139.92085094228779,3,4,0,3,False
SMALL439,Sharpe,0.04808262426665494,-0.01410611289718211,4,4,1,3,False
SMALL439,CAGR,0.8522438446029956,-0.20850891910995095,4,4,1,3,False
SMALL439,turn,-7.617131580535899,-0.09638892229221341,0,4,0,3,True
