panel,src,t,n,b4F,b4O,b4B,a4F,a4O,tw4F,tw4O
U56,PANEL,0.08,4,0.0,1.0,0.0,0.0,0.0,0.25,0.0
U56,PANEL,0.1,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0
U56,PANEL,0.12,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0
U56,PANEL,0.16,4,0.5,0.5,0.5,0.0,0.0,0.0,0.0
U56,PANEL,0.2,4,0.25,0.25,0.25,0.0,0.0,0.0,0.0
U56,SPY,0.08,4,0.0,0.0,0.0,0.0,0.0,1.0,0.75
U56,SPY,0.1,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0
U56,SPY,0.12,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0
U56,SPY,0.16,4,0.75,0.75,0.75,0.0,0.0,0.0,0.0
U56,SPY,0.2,4,0.25,0.25,0.25,0.0,0.0,0.0,0.0
U56,BLEND,0.08,4,0.0,0.25,0.0,0.0,0.0,0.75,0.25
U56,BLEND,0.1,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0
U56,BLEND,0.12,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0
U56,BLEND,0.16,4,0.75,0.75,0.75,0.0,0.0,0.0,0.0
U56,BLEND,0.2,4,0.25,0.25,0.25,0.0,0.0,0.0,0.0
B136,PANEL,0.08,4,0.0,0.25,0.0,0.5,0.5,0.0,0.0
B136,PANEL,0.1,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B136,PANEL,0.12,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B136,PANEL,0.16,4,0.75,0.75,0.75,0.0,0.0,0.0,0.0
B136,PANEL,0.2,4,0.25,0.25,0.25,0.0,0.0,0.0,0.0
B136,SPY,0.08,4,0.0,0.0,0.0,0.5,0.5,0.0,0.0
B136,SPY,0.1,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B136,SPY,0.12,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B136,SPY,0.16,4,0.75,0.75,0.75,0.0,0.0,0.0,0.0
B136,SPY,0.2,4,0.5,0.5,0.5,0.0,0.0,0.0,0.0
B136,BLEND,0.08,4,0.0,0.0,0.0,0.5,0.5,0.0,0.0
B136,BLEND,0.1,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B136,BLEND,0.12,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B136,BLEND,0.16,4,0.75,0.75,0.75,0.0,0.0,0.0,0.0
B136,BLEND,0.2,4,0.5,0.5,0.5,0.0,0.0,0.0,0.0
SMALL665,PANEL,0.08,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL665,PANEL,0.1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL665,PANEL,0.12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL665,PANEL,0.16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL665,PANEL,0.2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL665,SPY,0.08,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL665,SPY,0.1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL665,SPY,0.12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL665,SPY,0.16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL665,SPY,0.2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL665,BLEND,0.08,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL665,BLEND,0.1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL665,BLEND,0.12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL665,BLEND,0.16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL665,BLEND,0.2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
