panel,book,lam,cost,metric,base,COST,PATH,INTER,TOTAL
u56,EWall,1.0,0.0,CAGR,0.13329662702207123,0.0,0.0,0.0,0.0
u56,EWall,1.0,0.0,Sharpe,1.1287962426192406,0.0,0.0,0.0,0.0
u56,EWall,1.0,0.0,MaxDD,-0.22511399325077008,0.0,0.0,0.0,0.0
u56,EWall,1.0,0.0,H1,1.2008399256563154,0.0,0.0,0.0,0.0
u56,EWall,1.0,0.0,H2,1.0715938713951347,0.0,0.0,0.0,0.0
u56,EWall,1.0,0.0,OOS_Sharpe,1.138690049774078,0.0,0.0,0.0,0.0
u56,EWall,1.0,5.0,CAGR,0.1328270825809792,0.0,0.0,0.0,0.0
u56,EWall,1.0,5.0,Sharpe,1.1252381271502077,0.0,0.0,0.0,0.0
u56,EWall,1.0,5.0,MaxDD,-0.22518643287069406,0.0,0.0,0.0,0.0
u56,EWall,1.0,5.0,H1,1.197238390023955,0.0,0.0,0.0,0.0
u56,EWall,1.0,5.0,H2,1.068054420868083,0.0,0.0,0.0,0.0
u56,EWall,1.0,5.0,OOS_Sharpe,1.1351212562698194,0.0,0.0,0.0,0.0
u56,EWall,1.0,10.0,CAGR,0.1323577283971884,0.0,0.0,0.0,0.0
u56,EWall,1.0,10.0,Sharpe,1.1216798503721155,0.0,0.0,0.0,0.0
u56,EWall,1.0,10.0,MaxDD,-0.22525886731411915,0.0,0.0,0.0,0.0
u56,EWall,1.0,10.0,H1,1.1936367528161018,0.0,0.0,0.0,0.0
u56,EWall,1.0,10.0,H2,1.0645147667529837,0.0,0.0,0.0,0.0
u56,EWall,1.0,10.0,OOS_Sharpe,1.1315522372463844,0.0,0.0,0.0,0.0
u56,EWall,1.0,15.0,CAGR,0.1318885643953316,0.0,0.0,0.0,0.0
u56,EWall,1.0,15.0,Sharpe,1.118121414716349,0.0,0.0,0.0,0.0
u56,EWall,1.0,15.0,MaxDD,-0.22533129658130857,0.0,0.0,0.0,0.0
u56,EWall,1.0,15.0,H1,1.1900350165450517,0.0,0.0,0.0,0.0
u56,EWall,1.0,15.0,H2,1.0609749114230214,0.0,0.0,0.0,0.0
u56,EWall,1.0,15.0,OOS_Sharpe,1.1279829951558515,0.0,0.0,0.0,0.0
u56,EWall,1.0,25.0,CAGR,0.1309508066360825,0.0,0.0,0.0,0.0
u56,EWall,1.0,25.0,Sharpe,1.1110040764979634,0.0,0.0,0.0,0.0
u56,EWall,1.0,25.0,MaxDD,-0.2254761395880328,0.0,0.0,0.0,0.0
u56,EWall,1.0,25.0,H1,1.1828312568617119,0.0,0.0,0.0,0.0
u56,EWall,1.0,25.0,H2,1.0538946066128925,0.0,0.0,0.0,0.0
u56,EWall,1.0,25.0,OOS_Sharpe,1.1208438515837233,0.0,0.0,0.0,0.0
u56,EWall,1.0,50.0,CAGR,0.1286097351515212,0.0,0.0,0.0,0.0
u56,EWall,1.0,50.0,Sharpe,1.0932081208123061,0.0,0.0,0.0,0.0
u56,EWall,1.0,50.0,MaxDD,-0.22583815653911044,0.0,0.0,0.0,0.0
u56,EWall,1.0,50.0,H1,1.164820299874522,0.0,0.0,0.0,0.0
u56,EWall,1.0,50.0,H2,1.0361904895121328,0.0,0.0,0.0,0.0
u56,EWall,1.0,50.0,OOS_Sharpe,1.1029922606967983,0.0,0.0,0.0,0.0
u56,EWall,0.7,0.0,CAGR,0.13329662702207123,0.0,4.710614233682797e-05,0.0,4.710614233682797e-05
u56,EWall,0.7,0.0,Sharpe,1.1287962426192406,0.0,0.0003358284572401171,0.0,0.0003358284572401171
