panel,cadence,gross,turnover_yr,turnover_vs_live,live_turnover_yr,mean_gross,mean_sweep_w,max_name_w_held,fires,max_row_sum
U56,W,0.75,3.5063829420832278,1.9773669552263928,1.7732585915909447,0.9999999999999998,0.3439074528394024,0.027381432403730484,924,1.0000000000000013
U56,2W,0.75,2.981554670677186,1.6813986887282883,1.7732585915909447,0.9999999999999998,0.3431536345977698,0.03138711185440291,462,1.0000000000000018
U56,M,0.75,2.3899779597778292,1.347788738264943,1.7732585915909447,0.9999999999999998,0.34287007454007906,0.03432996869565118,213,1.0000000000000018
U56,Q,0.75,1.5935128960670424,0.8986353731056017,1.7732585915909447,0.9999999999999996,0.3481732695027467,0.0506284776920246,71,1.0000000000000022
U56,W,1.0,3.9918738682526254,2.2511515732576646,1.7732585915909447,0.9999999999999996,0.249947709588952,0.02918030310500747,924,1.0000000000000009
U56,2W,1.0,3.420316210527467,1.9288310383759673,1.7732585915909447,0.9999999999999996,0.24913840667254356,0.03343235438215692,462,1.000000000000001
U56,M,1.0,2.7742835319247416,1.5645115411146495,1.7732585915909447,0.9999999999999996,0.24948303987374754,0.03914546918283329,213,1.0000000000000013
U56,Q,1.0,1.8811123218878019,1.0608223362392353,1.7732585915909447,0.9999999999999996,0.2604538273521976,0.05498872151074694,71,1.0000000000000022
B136,W,0.75,4.675125426436814,2.324607724073661,2.0111459572387926,1.0000000000000004,0.2716749825181422,0.02502299341834478,923,1.0000000000000024
B136,2W,0.75,3.9418452345056374,1.9599995814911428,2.0111459572387926,1.0,0.27144653119588924,0.029736232813498343,461,1.0000000000000027
B136,M,0.75,3.0356069890722384,1.5093916869365274,2.0111459572387926,1.0000000000000002,0.27191933337546265,0.03148732139750097,213,1.0000000000000027
B136,Q,0.75,1.7958555153147973,0.8929513588264977,2.0111459572387926,1.0000000000000002,0.28567550699865923,0.036089505465845814,71,1.0000000000000036
B136,W,1.0,5.829629100658773,2.898660378017802,2.0111459572387926,1.0000000000000009,0.0436845431059477,0.02502299341834478,923,1.0000000000000036
B136,2W,1.0,4.991305323994785,2.481821523708607,2.0111459572387926,1.0000000000000009,0.04328801281079768,0.029736232813498343,461,1.0000000000000036
B136,M,1.0,3.8814220252679252,1.9299554123843563,2.0111459572387926,1.0000000000000007,0.04530005913335385,0.03148732139750097,213,1.0000000000000038
B136,Q,1.0,2.325774601672112,1.1564424716668946,2.0111459572387926,1.0000000000000009,0.069776992867625,0.0429262407086001,71,1.0000000000000038
