ceil,target_gross,bar_pass,ceiling_KILL,bar_KILL,pct_ceiling_decided
0.75,0.5625,16,57,233,18.627450980392158
0.8,0.6,24,49,233,16.013071895424837
0.85,0.6375,40,33,233,10.784313725490197
0.9,0.675,46,27,233,8.823529411764707
0.95,0.7125,55,18,233,5.882352941176471
1.0,0.75,58,15,233,4.901960784313726
1.05,0.7875,62,11,233,3.5947712418300655
1.1,0.825,62,11,233,3.5947712418300655
1.15,0.8625,65,8,233,2.6143790849673203
1.2,0.9,66,7,233,2.287581699346405
1.25,0.9375,69,4,233,1.3071895424836601
1.3,0.975,72,1,233,0.32679738562091504
1.3333,1.0,73,0,233,0.0
