predictor,rho_21,rho_7_n20,rho_7_meanN,perm_p_n20,perm_p_meanN
level_S,0.5662099363506997,0.42857142857142866,0.7500000000000002,0.3535714285714286,0.06626984126984127
level_C,-0.031456107575038875,-0.14285714285714288,0.10714285714285716,0.7825396825396825,0.8396825396825397
corr,0.17300859166271382,-0.07142857142857144,0.1785714285714286,0.9063492063492063,0.7130952380952381
xs_mom,0.251648860600311,0.39285714285714296,0.10714285714285716,0.3956349206349206,0.8396825396825397
ts_mom,0.34208516987854776,0.3571428571428572,0.4642857142857144,0.4444444444444444,0.30238095238095236
disp,0.13368845719391523,0.14285714285714288,0.25,0.7825396825396825,0.5948412698412698
n_elig,-0.5229577884350214,-0.6071428571428572,-0.42857142857142866,0.16666666666666666,0.3535714285714286
EWall_S,0.7116944338852547,0.6071428571428572,0.8571428571428573,0.16666666666666666,0.023809523809523808
ISsh_n20,0.6173261111601379,0.6071428571428572,0.8214285714285715,0.16666666666666666,0.034126984126984124
IS_Sharpe(21pt),0.7103896103896103,,,,
