claim_class,units,CLEAN,EXPOSED,EXPOSED_IMPLICIT,NOT_DEGENERATE,UNRECOVERABLE,states_basis,exposed_rate,states_basis_rate
C_HEAD,81,15,1,2,46,17,10,0.037037037037037035,0.12345679012345678
C_MEMO,118,20,4,7,70,17,12,0.09322033898305085,0.1016949152542373
C_ALL,195,31,7,11,122,24,16,0.09230769230769231,0.08205128205128205
C_SCRIPT,118,2,2,5,109,0,0,0.059322033898305086,0.0
