panel,cadence,m,fold_start,is_fold,ladder,rung,moved,moved_value,OOS_Sharpe
U56,QUARTER,1,566,True,CADENCE,W,False,False,-1.3667705959097347
U56,QUARTER,1,629,True,CADENCE,W,False,False,3.4229083884474396
U56,QUARTER,1,693,True,CADENCE,W,False,False,3.08564388867897
U56,QUARTER,1,757,True,CADENCE,W,False,False,1.7225567607623886
U56,QUARTER,1,819,True,CADENCE,W,False,False,0.20777409416301873
U56,QUARTER,1,882,True,CADENCE,W,False,False,-1.9177042576172738
U56,QUARTER,1,946,True,CADENCE,W,False,False,0.3970574544934202
U56,QUARTER,1,1009,True,CADENCE,W,False,False,6.821850403547755
U56,QUARTER,1,1071,True,CADENCE,W,False,False,-0.282745908391558
U56,QUARTER,1,1134,True,CADENCE,W,False,False,2.1535792872860946
U56,QUARTER,1,1197,True,CADENCE,W,False,False,-0.29656552858022
U56,QUARTER,1,1259,True,CADENCE,W,False,False,2.97544511539467
U56,QUARTER,1,1319,True,CADENCE,W,False,False,1.6488065251758512
U56,QUARTER,1,1383,True,CADENCE,W,False,False,3.588616620937259
U56,QUARTER,1,1447,True,CADENCE,W,False,False,2.640523114782456
U56,QUARTER,1,1511,True,CADENCE,W,False,False,1.0459819466802596
U56,QUARTER,1,1572,True,CADENCE,W,False,False,1.3640067319022773
U56,QUARTER,1,1635,True,CADENCE,W,False,False,0.7128134795298756
U56,QUARTER,1,1699,True,CADENCE,W,False,False,0.4466742460242042
U56,QUARTER,1,1763,True,CADENCE,W,False,False,1.9642973525193934
U56,QUARTER,1,1824,True,CADENCE,W,False,False,2.00466047127511
U56,QUARTER,1,1887,True,CADENCE,W,False,False,-0.3114026456336079
U56,QUARTER,1,1951,True,CADENCE,W,False,False,2.387233277268921
U56,QUARTER,1,2015,True,CADENCE,W,False,False,-0.5726073381241491
U56,QUARTER,1,2076,True,CADENCE,W,False,False,2.6266868987036136
U56,QUARTER,1,2140,True,CADENCE,W,False,False,2.0004998619169476
U56,QUARTER,1,2204,True,CADENCE,W,False,False,1.775670286562647
U56,QUARTER,1,2267,False,CADENCE,W,False,False,2.978648184838004
U56,QUARTER,1,2329,False,CADENCE,W,False,False,1.4219280149780824
U56,QUARTER,1,2392,False,CADENCE,W,False,False,2.339922875603229
U56,QUARTER,1,2455,False,CADENCE,W,False,False,3.0465642999256985
U56,QUARTER,1,2518,False,CADENCE,W,False,False,1.2682018031586046
U56,QUARTER,1,2579,False,CADENCE,W,False,False,2.0947386840987616
U56,QUARTER,1,2643,False,CADENCE,W,False,False,4.170361065787314
U56,QUARTER,1,2706,False,CADENCE,W,False,False,-2.857277548538677
U56,QUARTER,1,2769,False,CADENCE,W,False,False,2.902871560647388
U56,QUARTER,1,2830,False,CADENCE,W,False,False,1.1857420066087399
U56,QUARTER,1,2893,False,CADENCE,W,False,False,0.41977240605188837
U56,QUARTER,1,2957,False,CADENCE,W,False,False,5.0355763791477965
U56,QUARTER,1,3021,False,CADENCE,W,False,False,-0.8726980605352781
U56,QUARTER,1,3083,False,CADENCE,W,False,False,3.605016708064036
U56,QUARTER,1,3146,False,CADENCE,W,False,False,2.568094111390778
U56,QUARTER,1,3210,False,CADENCE,W,False,False,1.8851352581386371
U56,QUARTER,1,3274,False,CADENCE,W,False,False,0.7619655212606603
U56,QUARTER,1,3335,False,CADENCE,W,False,False,2.678732326057718
U56,QUARTER,1,3398,False,CADENCE,W,False,False,0.71710895018048
U56,QUARTER,1,3462,False,CADENCE,W,False,False,2.2991139987044833
U56,QUARTER,1,3526,False,CADENCE,W,False,False,0.0005986123437486489
U56,QUARTER,1,3588,False,CADENCE,W,False,False,-2.0941732635308896
U56,QUARTER,1,3650,False,CADENCE,W,False,False,-0.5667540874373672
U56,QUARTER,1,3714,False,CADENCE,W,False,False,1.6116754811297893
U56,QUARTER,1,3777,False,CADENCE,W,False,False,1.1443675036412584
U56,QUARTER,1,3839,False,CADENCE,W,False,False,3.7776078456804383
U56,QUARTER,1,3901,False,CADENCE,W,False,False,-0.6750357055510471
U56,QUARTER,1,3964,False,CADENCE,W,False,False,3.146355673931713
U56,QUARTER,1,4027,False,CADENCE,W,False,False,4.274611197717688
U56,QUARTER,1,4088,False,CADENCE,W,False,False,1.4513070459919446
U56,QUARTER,1,4151,False,CADENCE,W,False,False,1.5597909954978602
U56,QUARTER,1,4215,False,CADENCE,W,False,False,1.8561064724502059
U56,QUARTER,1,4279,False,CADENCE,W,False,False,-0.6643453690209487
U56,QUARTER,1,4339,False,CADENCE,W,False,False,2.2061505393109413
U56,QUARTER,1,4401,False,CADENCE,W,False,False,3.5244430687896364
U56,QUARTER,1,4465,False,CADENCE,W,False,False,1.1774205259043131
U56,QUARTER,1,4529,False,CADENCE,W,False,False,-0.6006478131669756
U56,QUARTER,1,4590,False,CADENCE,W,False,False,3.869861990692558
U56,QUARTER,1,4652,False,CADENCE,W,False,False,0.8126915545716279
U56,QUARTER,2,566,True,CADENCE,W,False,False,-1.3667705959097347
U56,QUARTER,2,629,True,CADENCE,W,False,False,3.4229083884474396
U56,QUARTER,2,693,True,CADENCE,W,False,False,3.08564388867897
U56,QUARTER,2,757,True,CADENCE,W,False,False,1.7225567607623886
U56,QUARTER,2,819,True,CADENCE,W,False,False,0.20777409416301873
U56,QUARTER,2,882,True,CADENCE,W,False,False,-1.9177042576172738
U56,QUARTER,2,946,True,CADENCE,W,False,False,0.3970574544934202
U56,QUARTER,2,1009,True,CADENCE,W,False,False,6.821850403547755
U56,QUARTER,2,1071,True,CADENCE,W,False,False,-0.282745908391558
U56,QUARTER,2,1134,True,CADENCE,W,False,False,2.1535792872860946
U56,QUARTER,2,1197,True,CADENCE,W,False,False,-0.29656552858022
U56,QUARTER,2,1259,True,CADENCE,W,False,False,2.97544511539467
U56,QUARTER,2,1319,True,CADENCE,W,False,False,1.6488065251758512
U56,QUARTER,2,1383,True,CADENCE,W,False,False,3.588616620937259
U56,QUARTER,2,1447,True,CADENCE,W,False,False,2.640523114782456
U56,QUARTER,2,1511,True,CADENCE,W,False,False,1.0459819466802596
U56,QUARTER,2,1572,True,CADENCE,W,False,False,1.3640067319022773
U56,QUARTER,2,1635,True,CADENCE,W,False,False,0.7128134795298756
U56,QUARTER,2,1699,True,CADENCE,W,False,False,0.4466742460242042
U56,QUARTER,2,1763,True,CADENCE,W,False,False,1.9642973525193934
U56,QUARTER,2,1824,True,CADENCE,W,False,False,2.00466047127511
U56,QUARTER,2,1887,True,CADENCE,W,False,False,-0.3114026456336079
U56,QUARTER,2,1951,True,CADENCE,W,False,False,2.387233277268921
U56,QUARTER,2,2015,True,CADENCE,W,False,False,-0.5726073381241491
U56,QUARTER,2,2076,True,CADENCE,W,False,False,2.6266868987036136
U56,QUARTER,2,2140,True,CADENCE,W,False,False,2.0004998619169476
U56,QUARTER,2,2204,True,CADENCE,W,False,False,1.775670286562647
U56,QUARTER,2,2267,False,CADENCE,W,False,False,2.978648184838004
U56,QUARTER,2,2329,False,CADENCE,W,False,False,1.4219280149780824
U56,QUARTER,2,2392,False,CADENCE,W,False,False,2.339922875603229
U56,QUARTER,2,2455,False,CADENCE,W,False,False,3.0465642999256985
U56,QUARTER,2,2518,False,CADENCE,W,False,False,1.2682018031586046
U56,QUARTER,2,2579,False,CADENCE,W,False,False,2.0947386840987616
U56,QUARTER,2,2643,False,CADENCE,W,False,False,4.170361065787314
U56,QUARTER,2,2706,False,CADENCE,W,False,False,-2.857277548538677
U56,QUARTER,2,2769,False,CADENCE,W,False,False,2.902871560647388
U56,QUARTER,2,2830,False,CADENCE,W,False,False,1.1857420066087399
U56,QUARTER,2,2893,False,CADENCE,W,False,False,0.41977240605188837
U56,QUARTER,2,2957,False,CADENCE,W,False,False,5.0355763791477965
U56,QUARTER,2,3021,False,CADENCE,W,False,False,-0.8726980605352781
U56,QUARTER,2,3083,False,CADENCE,W,False,False,3.605016708064036
U56,QUARTER,2,3146,False,CADENCE,W,False,False,2.568094111390778
U56,QUARTER,2,3210,False,CADENCE,W,False,False,1.8851352581386371
U56,QUARTER,2,3274,False,CADENCE,W,False,False,0.7619655212606603
U56,QUARTER,2,3335,False,CADENCE,W,False,False,2.678732326057718
U56,QUARTER,2,3398,False,CADENCE,W,False,False,0.71710895018048
U56,QUARTER,2,3462,False,CADENCE,W,False,False,2.2991139987044833
U56,QUARTER,2,3526,False,CADENCE,W,False,False,0.0005986123437486489
U56,QUARTER,2,3588,False,CADENCE,W,False,False,-2.0941732635308896
U56,QUARTER,2,3650,False,CADENCE,W,False,False,-0.5667540874373672
U56,QUARTER,2,3714,False,CADENCE,W,False,False,1.6116754811297893
U56,QUARTER,2,3777,False,CADENCE,W,False,False,1.1443675036412584
U56,QUARTER,2,3839,False,CADENCE,W,False,False,3.7776078456804383
U56,QUARTER,2,3901,False,CADENCE,W,False,False,-0.6750357055510471
U56,QUARTER,2,3964,False,CADENCE,W,False,False,3.146355673931713
U56,QUARTER,2,4027,False,CADENCE,W,False,False,4.274611197717688
U56,QUARTER,2,4088,False,CADENCE,W,False,False,1.4513070459919446
U56,QUARTER,2,4151,False,CADENCE,W,False,False,1.5597909954978602
U56,QUARTER,2,4215,False,CADENCE,W,False,False,1.8561064724502059
U56,QUARTER,2,4279,False,CADENCE,W,False,False,-0.6643453690209487
U56,QUARTER,2,4339,False,CADENCE,W,False,False,2.2061505393109413
U56,QUARTER,2,4401,False,CADENCE,W,False,False,3.5244430687896364
U56,QUARTER,2,4465,False,CADENCE,W,False,False,1.1774205259043131
U56,QUARTER,2,4529,False,CADENCE,W,False,False,-0.6006478131669756
U56,QUARTER,2,4590,False,CADENCE,W,False,False,3.869861990692558
U56,QUARTER,2,4652,False,CADENCE,W,False,False,0.8126915545716279
U56,QUARTER,4,566,True,N,10,True,True,-2.044555617113697
U56,QUARTER,4,629,True,CADENCE,W,False,False,3.4229083884474396
U56,QUARTER,4,693,True,N,15,True,True,2.7797496773031014
U56,QUARTER,4,757,True,N,10,True,True,1.4498676561973154
U56,QUARTER,4,819,True,N,15,True,True,0.1144251601279878
U56,QUARTER,4,882,True,N,10,True,True,-1.7140263626513845
U56,QUARTER,4,946,True,N,15,True,True,0.7912997015268199
U56,QUARTER,4,1009,True,N,15,True,True,5.843087191127106
U56,QUARTER,4,1071,True,N,15,True,True,0.08619716229429701
U56,QUARTER,4,1134,True,N,10,True,True,2.232441407757424
U56,QUARTER,4,1197,True,N,10,True,True,0.34230700501314215
U56,QUARTER,4,1259,True,N,10,True,True,1.9204165074830921
U56,QUARTER,4,1319,True,N,10,True,True,2.632212093450097
U56,QUARTER,4,1383,True,N,10,True,True,3.4711991628581766
U56,QUARTER,4,1447,True,N,10,True,True,2.5710689688294894
U56,QUARTER,4,1511,True,N,10,True,True,0.7311064762883589
