cost,split,full_pass,is_pass,post_pass,never_promoted,n_never,newly_promoted,n_new,is_passers
0,2013-12-31,11,4,11,K1;K2;K3;K5;K8;R1;R2,7,,0,K4;K6;R3;R4
0,2014-12-31,11,3,11,K1;K2;K3;K4;K5;K8;R1;R2,8,,0,K6;R3;R4
0,2015-12-31,11,7,11,K1;K3;K5;K8,4,,0,K2;K4;K6;R1;R2;R3;R4
0,2016-12-31,11,7,11,K1;K3;K5;K8,4,,0,K2;K4;K6;R1;R2;R3;R4
0,2017-12-31,11,10,11,K8,1,,0,K1;K2;K3;K4;K5;K6;R1;R2;R3;R4
0,2018-12-31,11,6,11,K1;K6;K8;R2;R3,5,,0,K2;K3;K4;K5;R1;R4
10,2013-12-31,11,4,11,K1;K2;K3;K5;K8;R1;R2,7,,0,K4;K6;R3;R4
10,2014-12-31,11,2,11,K1;K2;K3;K4;K5;K8;R1;R2;R4,9,,0,K6;R3
10,2015-12-31,11,6,11,K1;K2;K3;K5;K8,5,,0,K4;K6;R1;R2;R3;R4
10,2016-12-31,11,6,11,K1;K2;K3;K5;K8,5,,0,K4;K6;R1;R2;R3;R4
10,2017-12-31,11,9,11,K3;K8,2,,0,K1;K2;K4;K5;K6;R1;R2;R3;R4
10,2018-12-31,11,5,11,K1;K2;K6;K8;R2;R3,6,,0,K3;K4;K5;R1;R4
25,2013-12-31,9,3,10,K2;K3;K4;K5;K8;R1,6,,0,K6;R3;R4
25,2014-12-31,9,1,10,K2;K3;K4;K5;K8;R1;R3;R4,8,,0,K6
25,2015-12-31,9,4,11,K2;K3;K5;K8;R1,5,,0,K4;K6;R3;R4
25,2016-12-31,9,4,11,K2;K3;K5;K8;R1,5,,0,K4;K6;R3;R4
25,2017-12-31,9,5,10,K2;K3;K5;K8,4,,0,K4;K6;R1;R3;R4
25,2018-12-31,9,4,9,K2;K3;K6;K8;R3,5,,0,K4;K5;R1;R4
