panel,estimator,n_parent,n_here,agree_parent,agree_here,best_parent,best_here,bstar_parent,bstar_here,d_agree,d_best,d_bstar,d_n
U56,FULL,112,112,0.9017857142857144,0.9017857142857143,0.9375,0.9375,0.529,0.536079516349917,1.1102230246251565e-16,0.0,0.007079516349916992,0
U56,DOWN,112,112,0.9017857142857144,0.9017857142857143,0.9464285714285714,0.9464285714285714,0.519,0.5191217898466874,1.1102230246251565e-16,0.0,0.00012178984668742565,0
U56,ROLL,112,112,0.9285714285714286,0.9285714285714286,0.9642857142857144,0.9642857142857143,0.611,0.6170464313621449,0.0,1.1102230246251565e-16,0.006046431362144888,0
U56,DDWIN,64,64,0.953125,0.953125,0.984375,0.984375,0.5680000000000001,0.5709428895719868,0.0,0.0,0.00294288957198674,0
B136,FULL,112,112,0.8571428571428571,0.8571428571428571,0.8928571428571429,0.8928571428571429,0.433,0.4366067373906566,0.0,0.0,0.003606737390656589,0
B136,DOWN,112,112,0.8660714285714286,0.8660714285714286,0.9107142857142856,0.9107142857142857,0.41,0.4182135986326055,0.0,1.1102230246251565e-16,0.008213598632605512,0
B136,ROLL,112,112,0.8571428571428571,0.8571428571428571,0.8928571428571429,0.8928571428571429,0.6990000000000001,0.6992069423574452,0.0,0.0,0.0002069423574451168,0
B136,DDWIN,60,60,0.9833333333333332,0.9833333333333333,1.0,1.0,0.469,0.4964266737277929,1.1102230246251565e-16,0.0,0.02742667372779295,0
SMALL,FULL,112,112,0.6785714285714286,0.6785714285714286,0.9107142857142856,0.9107142857142857,0.348,0.3480911150604572,0.0,1.1102230246251565e-16,9.111506045722528e-05,0
SMALL,DOWN,112,112,0.6964285714285714,0.6964285714285714,0.9107142857142856,0.9107142857142857,0.367,0.3702976675375631,0.0,1.1102230246251565e-16,0.0032976675375631093,0
SMALL,ROLL,112,112,0.7321428571428571,0.7321428571428571,0.9107142857142856,0.9107142857142857,0.388,0.3881108444552218,0.0,1.1102230246251565e-16,0.00011084445522180353,0
SMALL,DDWIN,112,112,0.7321428571428571,0.7321428571428571,0.8571428571428571,0.8571428571428571,0.36,0.3826955152221982,0.0,0.0,0.022695515222198204,0
