statistic,share,n_core,n_core_verified,n_core_unverifiable,core_ANY,base_ANY,lift_ANY,core_sound_ANY,base_sound_ANY,core_DATA,base_DATA,lift_DATA,core_sound_DATA,base_sound_DATA
NAMED,0.02,14,14,0,0.9940074906367042,0.9807541911807616,0.013253299455942669,0.9285714285714286,0.918918918918919,0.7593921060213196,0.8935748562327469,-0.13418275021142734,0.7142857142857143,0.7027027027027027
NAMED,0.05,34,34,0,0.9931403566609559,0.9807541911807616,0.012386165480194333,0.9705882352941176,0.918918918918919,0.880282374340608,0.8935748562327469,-0.013292481892138941,0.8529411764705882,0.7027027027027027
NAMED,0.1,69,69,0,0.9920495987494244,0.9807541911807616,0.011295407568662874,0.9710144927536232,0.918918918918919,0.8967160418396423,0.8935748562327469,0.003141185606895358,0.7971014492753623,0.7027027027027027
NAMED,0.2,137,135,2,0.9869304270802987,0.9807541911807616,0.006176235899537086,0.9629629629629629,0.918918918918919,0.9072936839952289,0.8935748562327469,0.013718827762482011,0.7925925925925926,0.7027027027027027
NAMED,0.25,172,167,5,0.9876423619890867,0.9807541911807616,0.006888170808325156,0.9520958083832335,0.918918918918919,0.9058558860550822,0.8935748562327469,0.012281029822335254,0.7664670658682635,0.7027027027027027
ECHOED,0.02,14,14,0,0.974811609994938,0.9807541911807616,-0.005942581185823581,0.9285714285714286,0.918918918918919,0.9234800785591311,0.8935748562327469,0.02990522232638415,0.6428571428571429,0.7027027027027027
ECHOED,0.05,34,34,0,0.9778134213731071,0.9807541911807616,-0.002940769807654453,0.9411764705882353,0.918918918918919,0.9225756268576455,0.8935748562327469,0.029000770624898586,0.7058823529411765,0.7027027027027027
ECHOED,0.1,69,68,1,0.9777283089652374,0.9807541911807616,-0.003025882215524134,0.9264705882352942,0.918918918918919,0.9359789098971687,0.8935748562327469,0.04240405366442179,0.75,0.7027027027027027
ECHOED,0.2,137,133,4,0.9810920636467605,0.9807541911807616,0.00033787246599892296,0.9398496240601504,0.918918918918919,0.9420137883588354,0.8935748562327469,0.04843893212608852,0.7744360902255639,0.7027027027027027
ECHOED,0.25,172,168,4,0.9806417003324323,0.9807541911807616,-0.00011249084832931633,0.9345238095238095,0.918918918918919,0.9406786040077177,0.8935748562327469,0.04710374777497084,0.7797619047619048,0.7027027027027027
SUM,0.02,14,14,0,0.9771836449512427,0.9807541911807616,-0.0035705462295189117,0.9285714285714286,0.918918918918919,0.9346226273706952,0.8935748562327469,0.04104777113794833,0.7142857142857143,0.7027027027027027
SUM,0.05,34,34,0,0.9789668239105926,0.9807541911807616,-0.001787367270168927,0.9411764705882353,0.918918918918919,0.9277659382763306,0.8935748562327469,0.034191082043583676,0.7352941176470589,0.7027027027027027
SUM,0.1,69,68,1,0.9767479168083748,0.9807541911807616,-0.004006274372386764,0.9264705882352942,0.918918918918919,0.9348917814974219,0.8935748562327469,0.04131692526467501,0.75,0.7027027027027027
SUM,0.2,137,134,3,0.9813524491841814,0.9807541911807616,0.0005982580034198381,0.9402985074626866,0.918918918918919,0.9435287301153042,0.8935748562327469,0.04995387388255734,0.7835820895522388,0.7027027027027027
SUM,0.25,172,168,4,0.9804965203092034,0.9807541911807616,-0.0002576708715581466,0.9345238095238095,0.918918918918919,0.9411604545548994,0.8935748562327469,0.04758559832215248,0.7797619047619048,0.7027027027027027
MAXLEG,0.02,14,14,0,0.974811609994938,0.9807541911807616,-0.005942581185823581,0.9285714285714286,0.918918918918919,0.9234800785591311,0.8935748562327469,0.02990522232638415,0.6428571428571429,0.7027027027027027
MAXLEG,0.05,34,34,0,0.9778134213731071,0.9807541911807616,-0.002940769807654453,0.9411764705882353,0.918918918918919,0.9225756268576455,0.8935748562327469,0.029000770624898586,0.7058823529411765,0.7027027027027027
MAXLEG,0.1,69,68,1,0.9777283089652374,0.9807541911807616,-0.003025882215524134,0.9264705882352942,0.918918918918919,0.9359789098971687,0.8935748562327469,0.04240405366442179,0.75,0.7027027027027027
MAXLEG,0.2,137,133,4,0.9810920636467605,0.9807541911807616,0.00033787246599892296,0.9398496240601504,0.918918918918919,0.9420137883588354,0.8935748562327469,0.04843893212608852,0.7744360902255639,0.7027027027027027
MAXLEG,0.25,172,168,4,0.9806417003324323,0.9807541911807616,-0.00011249084832931633,0.9345238095238095,0.918918918918919,0.9406786040077177,0.8935748562327469,0.04710374777497084,0.7797619047619048,0.7027027027027027
CTRL,0.02,14,13,1,0.973424596294305,0.9807541911807616,-0.00732959488645657,0.8461538461538461,0.918918918918919,0.9211892460094169,0.8935748562327469,0.027614389776669968,0.7692307692307693,0.7027027027027027
CTRL,0.05,34,33,1,0.9887636148402282,0.9807541911807616,0.008009423659466663,0.9393939393939394,0.918918918918919,0.8790856433998179,0.8935748562327469,-0.014489212832929033,0.7272727272727273,0.7027027027027027
CTRL,0.1,69,67,2,0.9885980227322507,0.9807541911807616,0.007843831551489155,0.9552238805970149,0.918918918918919,0.9031713840247719,0.8935748562327469,0.009596527792025022,0.7611940298507462,0.7027027027027027
CTRL,0.2,137,135,2,0.9886998401428583,0.9807541911807616,0.007945648962096707,0.9777777777777777,0.918918918918919,0.9074002203302723,0.8935748562327469,0.013825364097525439,0.7555555555555555,0.7027027027027027
CTRL,0.25,172,170,2,0.9867281424588623,0.9807541911807616,0.005973951278100742,0.9647058823529412,0.918918918918919,0.9147180399060869,0.8935748562327469,0.021143183673340005,0.7647058823529411,0.7027027027027027
