panel,anchor,chooser,reach_count,reach_set,mean_p_boot,n_resolved
B136,A,C_ISCAGR,2,CADENCE+GROSS,0.37975,2
B136,A,C_ISDD,0,,0.023,4
B136,A,C_ISSHARPE,2,CADENCE+GROSS,0.374,2
B136,B,C_ISCAGR,0,,0.1645,2
B136,B,C_ISDD,1,H,0.3505,1
B136,B,C_ISSHARPE,1,H,0.24175000000000002,1
SMALL,A,C_ISCAGR,1,GROSS,0.30975,3
SMALL,A,C_ISDD,0,,0.13774999999999998,1
SMALL,A,C_ISSHARPE,1,GROSS,0.2595,2
SMALL,B,C_ISCAGR,0,,0.09175,3
SMALL,B,C_ISDD,1,CADENCE,0.27,2
SMALL,B,C_ISSHARPE,0,,0.114,3
U56,A,C_ISCAGR,2,CADENCE+GROSS,0.4415,2
U56,A,C_ISDD,0,,0.046,3
U56,A,C_ISSHARPE,2,CADENCE+GROSS,0.2865,1
U56,B,C_ISCAGR,0,,0.0695,2
U56,B,C_ISDD,0,,0.088,2
U56,B,C_ISSHARPE,0,,0.07550000000000001,2
