ladder,stat,inf_U56,inf_B136,inf_SMALL663,relfloor_U56,relfloor_B136,relfloor_SMALL663,small_differs_from_both,all_three_agree
N,S_FULL,0,1,0,0.9614199990206408,1.0,0.9166924815249178,False,False
N,S_OOS,0,0,0,0.9492574752755355,0.7424859282662412,0.8309196756018248,False,True
N,CAGR,0,1,0,0.9719358097553694,1.0,0.923717215913482,False,False
N,DD,0,0,0,0.8451293874320005,0.7690292865999477,0.48034331143163694,False,True
H,S_FULL,1,1,0,1.0,1.0,0.7577676979814367,True,False
H,S_OOS,1,1,1,1.0,1.0,1.0,False,True
H,CAGR,1,1,0,1.0,1.0,0.7772689553458251,True,False
H,DD,1,1,1,1.0,1.0,1.0,False,True
GROSS,S_FULL,0,0,1,0.6520763598655211,0.10019035125441698,1.0,True,False
GROSS,S_OOS,1,0,1,1.0,0.10185330187773008,1.0,False,False
GROSS,CAGR,0,0,0,0.11041303436913902,0.1108862852459248,0.09928745784485099,False,True
GROSS,DD,0,0,0,0.10719386219750515,0.10659646501218185,0.10184565941832105,False,True
CADENCE,S_FULL,1,1,1,1.0,1.0,1.0,False,True
CADENCE,S_OOS,1,1,0,1.0,1.0,1.0,True,False
CADENCE,CAGR,1,0,1,1.0,1.0,1.0,False,False
CADENCE,DD,1,1,1,1.0,1.0,1.0,False,True
