block,pair,agree,disagree_share
A,marginal vs partial,21/27,0.2222222222222222
A,marginal vs joint_t,18/27,0.33333333333333337
A,partial vs joint_t,20/27,0.2592592592592593
B,marginal vs partial,17/27,0.37037037037037035
B,marginal vs joint_t,15/27,0.4444444444444444
B,partial vs joint_t,22/27,0.18518518518518523
