panel,bps,selector,pick,IS_Sharpe,IS_CAGR,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,v1_OOS_Sharpe,v1_OOS_CAGR,v1_OOS_MaxDD,SPY_OOS_Sharpe,full_4a,full_4b,SPY_OOS_CAGR,SPY_OOS_MaxDD
B136,0,S_SHARPE,FWD10,1.1680141419913217,0.18078230611593482,0.14882339136905265,0.8877013793890176,-0.21371618190846187,0.8568806821147589,0.09283844674412256,-0.18353080750935924,0.8820239235972316,False,False,0.1545044425578177,-0.3371595330739301
B136,0,S_CAGR,FWD5,1.0720357489881003,0.1942298848321906,0.1903840415706599,0.9306342332030443,-0.23408963470956234,0.8568806821147589,0.09283844674412256,-0.18353080750935924,0.8820239235972316,False,False,0.1545044425578177,-0.3371595330739301
B136,0,EWALL,EWall,1.1111006218848407,0.11765126852314145,0.1152808427800831,1.100499453025563,-0.173426895186108,0.8568806821147589,0.09283844674412256,-0.18353080750935924,0.8820239235972316,True,True,0.1545044425578177,-0.3371595330739301
B136,0,FWD20,FWD20,1.1247401783290516,0.15213537478526207,0.14134119698337289,0.9861110497210084,-0.19983154054596786,0.8568806821147589,0.09283844674412256,-0.18353080750935924,0.8820239235972316,False,True,0.1545044425578177,-0.3371595330739301
B136,10,S_SHARPE,FWD10,1.0558595059015365,0.16078119791765988,0.12766905137397422,0.780593339534181,-0.21444792932259604,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,False,False,0.1545044425578177,-0.3371595330739301
B136,10,S_CAGR,FWD5,0.9550528539914069,0.16925496444138832,0.16392587618324272,0.8243073644786649,-0.23988843771808588,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,False,False,0.1545044425578177,-0.3371595330739301
B136,10,EWALL,EWall,1.0349765743906882,0.1087705617421808,0.10583657394304091,1.0185476662771331,-0.17687931105226462,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,True,True,0.1545044425578177,-0.3371595330739301
B136,10,FWD20,FWD20,1.0226042049000195,0.1364909901051221,0.12454335283909401,0.8836022780725372,-0.20052048331108296,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,True,False,0.1545044425578177,-0.3371595330739301
BSTK100,0,S_SHARPE,FWD10,1.1550871526027475,0.19260326582702247,0.144226961506287,0.8531962323817152,-0.2892013596112344,0.7235682121760401,0.09133904149771532,-0.2079286541323384,0.8820239235972316,False,False,0.1545044425578177,-0.3371595330739301
BSTK100,0,S_CAGR,FWD5,1.0523454748111256,0.20071410340987073,0.17953277852274563,0.884685264102454,-0.2843459986176401,0.7235682121760401,0.09133904149771532,-0.2079286541323384,0.8820239235972316,False,False,0.1545044425578177,-0.3371595330739301
