SET,TOL,mean_ladders,cells_with_none,base_picks,picks,surv_share,res_SPREAD,res_ARGMAX,res_SPREAD_share,res_ARGMAX_share,n_N,n_H,n_GROSS,n_CADENCE
ALL4,T_NONE,4.0,0,168,168,1.0,4,3,0.023809523809523808,0.017857142857142856,42,42,42,42
ALL4,T_EXACT,1.9047619047619047,0,168,80,0.47619047619047616,0,0,0.0,0.0,42,36,2,0
ALL4,T_095,1.9047619047619047,0,168,80,0.47619047619047616,0,0,0.0,0.0,42,36,2,0
ALL4,T_090,1.8095238095238095,0,168,76,0.4523809523809524,0,0,0.0,0.0,38,36,2,0
ALL4,T_080,1.4047619047619047,5,168,59,0.35119047619047616,0,0,0.0,0.0,31,26,2,0
ALL4,T_060,1.1428571428571428,7,168,48,0.2857142857142857,0,0,0.0,0.0,21,26,1,0
NG3,T_NONE,3.0,0,126,126,1.0,0,0,0.0,0.0,42,42,0,42
NG3,T_EXACT,1.8571428571428572,0,126,78,0.6190476190476191,0,0,0.0,0.0,42,36,0,0
NG3,T_095,1.8571428571428572,0,126,78,0.6190476190476191,0,0,0.0,0.0,42,36,0,0
NG3,T_090,1.7619047619047619,0,126,74,0.5873015873015873,0,0,0.0,0.0,38,36,0,0
NG3,T_080,1.3571428571428572,5,126,57,0.4523809523809524,0,0,0.0,0.0,31,26,0,0
NG3,T_060,1.119047619047619,7,126,47,0.373015873015873,0,0,0.0,0.0,21,26,0,0
NHG,T_NONE,3.0,0,126,126,1.0,4,3,0.031746031746031744,0.023809523809523808,42,42,42,0
NHG,T_EXACT,1.9047619047619047,0,126,80,0.6349206349206349,0,0,0.0,0.0,42,36,2,0
NHG,T_095,1.9047619047619047,0,126,80,0.6349206349206349,0,0,0.0,0.0,42,36,2,0
NHG,T_090,1.8095238095238095,0,126,76,0.6031746031746031,0,0,0.0,0.0,38,36,2,0
NHG,T_080,1.4047619047619047,5,126,59,0.46825396825396826,0,0,0.0,0.0,31,26,2,0
NHG,T_060,1.1428571428571428,7,126,48,0.38095238095238093,0,0,0.0,0.0,21,26,1,0
NH,T_NONE,2.0,0,84,84,1.0,0,0,0.0,0.0,42,42,0,0
NH,T_EXACT,1.8571428571428572,0,84,78,0.9285714285714286,0,0,0.0,0.0,42,36,0,0
NH,T_095,1.8571428571428572,0,84,78,0.9285714285714286,0,0,0.0,0.0,42,36,0,0
NH,T_090,1.7619047619047619,0,84,74,0.8809523809523809,0,0,0.0,0.0,38,36,0,0
NH,T_080,1.3571428571428572,5,84,57,0.6785714285714286,0,0,0.0,0.0,31,26,0,0
NH,T_060,1.119047619047619,7,84,47,0.5595238095238095,0,0,0.0,0.0,21,26,0,0
