panel,family,level,cad,ident_max_err,window,n,c_bar,gap0_pp,pred0_pp,resid0_pp,c_sd
SMALL439,QUANTILE,0.2,W,3.469446951953614e-18,FULL,3934,0.20135098368919482,-7.862460071946109,-7.848623506527486,-0.013836565418623437,0.0024355805212456167
SMALL439,QUANTILE,0.2,W,3.469446951953614e-18,IS,1502,0.20151792452515446,-6.208415311540216,-6.189445502016078,-0.018969809524138626,0.002234238055853041
SMALL439,QUANTILE,0.2,W,3.469446951953614e-18,OOS,2432,0.20124788124856519,-8.903486921637494,-8.893206411968379,-0.010280509669115645,0.0025469938558557326
SMALL439,QUANTILE,0.2,M,3.469446951953614e-18,FULL,3934,0.2017565617321997,-8.403857389611824,-8.355007654324176,-0.048849735287648244,0.005575649262661411
SMALL439,QUANTILE,0.2,M,3.469446951953614e-18,IS,1502,0.20171446191007225,-6.981948696935181,-6.916386904847238,-0.06556179208794255,0.004509694550274684
SMALL439,QUANTILE,0.2,M,3.469446951953614e-18,OOS,2432,0.20178256252695115,-9.29671339059559,-9.25817159806066,-0.03854179253493051,0.006143020200242773
SMALL439,QUANTILE,0.2,Q,5.204170427930421e-18,FULL,3934,0.2033999446132752,-6.710259890243031,-6.739871585617219,0.02961169537418762,0.01001749688148211
SMALL439,QUANTILE,0.2,Q,5.204170427930421e-18,IS,1502,0.2020145896526916,-4.951591802394484,-4.940922659292624,-0.010669143101860179,0.007883399876429397
SMALL439,QUANTILE,0.2,Q,5.204170427930421e-18,OOS,2432,0.20425553801409616,-7.8199403072747975,-7.871298933387694,0.05135862611289621,0.011048124002961192
SMALL439,QUANTILE,0.3,W,5.204170427930421e-18,FULL,3934,0.3014556787469243,-6.023813332838213,-6.008061514049512,-0.01575181878870069,0.002974103169644787
SMALL439,QUANTILE,0.3,W,5.204170427930421e-18,IS,1502,0.30164430673689824,-4.578667302971007,-4.553895025545285,-0.024772277425721967,0.0026823530604899513
SMALL439,QUANTILE,0.3,W,5.204170427930421e-18,OOS,2432,0.301339182348511,-6.935087612476032,-6.925370456284496,-0.009717156191535459,0.003135652044202976
SMALL439,QUANTILE,0.3,M,3.469446951953614e-18,FULL,3934,0.30189299874381853,-6.293194874242181,-6.234313348003306,-0.058881526238874216,0.00702004252344647
SMALL439,QUANTILE,0.3,M,3.469446951953614e-18,IS,1502,0.301786536384544,-5.2582035370063895,-5.167370340098154,-0.09083319690823544,0.005675698653576269
