gate,quantity,n,max_abs_diff
a_idea159_grid,CAGR,294,9.71445146547012e-17
a_idea159_grid,Sharpe,294,2.220446049250313e-16
a_idea159_grid,MaxDD,294,8.326672684688674e-17
a_idea159_grid,H1,294,2.220446049250313e-16
a_idea159_grid,H2,294,2.220446049250313e-16
a_idea159_grid,OOS_Sharpe,294,2.220446049250313e-16
a_idea159_grid,IS_Sharpe,294,2.220446049250313e-16
b_idea168_grid,CAGR,352,9.71445146547012e-17
b_idea168_grid,Sharpe,352,2.220446049250313e-16
b_idea168_grid,MaxDD,352,8.326672684688674e-17
b_idea168_grid,H1,352,2.220446049250313e-16
b_idea168_grid,H2,352,2.220446049250313e-16
b_idea168_grid,OOS_Sharpe,352,2.220446049250313e-16
b_idea168_grid,IS_Sharpe,352,2.220446049250313e-16
c_idea165_W4bIS_u56_10bps,OOS_CAGR,1,2.7755575615628914e-17
c_idea165_W4bIS_u56_10bps,OOS_Sharpe,1,0.0
c_idea165_W4bIS_u56_10bps,OOS_MaxDD,1,2.7755575615628914e-17
c_idea165_W4bIS_u56_10bps,pick_identical,1,0.0
