panel,dial,res,family,pts,step,exhausted,w_pts,w_frac,w_units,lo,hi,n_pass
U56,band,x1,4b_window,13,0.01,0,0,0.0,,,,0
U56,band,x1,plateau,13,0.01,0,5,0.38461538461538464,0.04,0.0,0.04,9
U56,band,x1,IS_4b_window,13,0.01,0,0,0.0,,,,0
U56,band,x2,4b_window,25,0.005,0,0,0.0,,,,0
U56,band,x2,plateau,25,0.005,0,9,0.36,0.04,0.0,0.04,15
U56,band,x2,IS_4b_window,25,0.005,0,0,0.0,,,,0
U56,band,x4,4b_window,49,0.0025,0,0,0.0,,,,0
U56,band,x4,plateau,49,0.0025,0,18,0.3673469387755102,0.0425,0.0,0.0425,29
U56,band,x4,IS_4b_window,49,0.0025,0,0,0.0,,,,0
U56,gross,x1,4b_window,15,0.05,0,2,0.13333333333333333,0.050000000000000044,0.95,1.0,2
U56,gross,x1,plateau,15,0.05,0,15,1.0,0.7,0.3,1.0,15
U56,gross,x1,IS_4b_window,15,0.05,0,0,0.0,,,,0
U56,gross,x2,4b_window,29,0.025,0,4,0.13793103448275862,0.07499999999999996,0.925,1.0,4
U56,gross,x2,plateau,29,0.025,0,29,1.0,0.7,0.3,1.0,29
U56,gross,x2,IS_4b_window,29,0.025,0,0,0.0,,,,0
U56,gross,x4,4b_window,57,0.0125,0,7,0.12280701754385964,0.07499999999999996,0.925,1.0,7
U56,gross,x4,plateau,57,0.0125,0,57,1.0,0.7,0.3,1.0,57
U56,gross,x4,IS_4b_window,57,0.0125,0,0,0.0,,,,0
U56,n,x1,4b_window,10,4.0,0,0,0.0,,,,0
U56,n,x1,plateau,10,4.0,0,3,0.3,8.0,32.0,40.0,3
U56,n,x1,IS_4b_window,10,4.0,0,0,0.0,,,,0
U56,n,x2,4b_window,19,2.0,0,0,0.0,,,,0
U56,n,x2,plateau,19,2.0,0,5,0.2631578947368421,8.0,32.0,40.0,5
U56,n,x2,IS_4b_window,19,2.0,0,0,0.0,,,,0
U56,n,x4,4b_window,37,1.0,0,0,0.0,,,,0
U56,n,x4,plateau,37,1.0,0,10,0.2702702702702703,9.0,31.0,40.0,10
U56,n,x4,IS_4b_window,37,1.0,0,0,0.0,,,,0
B136,band,x1,4b_window,13,0.01,0,0,0.0,,,,0
B136,band,x1,plateau,13,0.01,0,13,1.0,0.12,0.0,0.12,13
B136,band,x1,IS_4b_window,13,0.01,0,0,0.0,,,,0
B136,band,x2,4b_window,25,0.005,0,0,0.0,,,,0
B136,band,x2,plateau,25,0.005,0,25,1.0,0.12,0.0,0.12,25
B136,band,x2,IS_4b_window,25,0.005,0,0,0.0,,,,0
B136,band,x4,4b_window,49,0.0025,0,0,0.0,,,,0
B136,band,x4,plateau,49,0.0025,0,49,1.0,0.12,0.0,0.12,49
B136,band,x4,IS_4b_window,49,0.0025,0,0,0.0,,,,0
B136,gross,x1,4b_window,15,0.05,0,1,0.06666666666666667,0.0,1.0,1.0,1
B136,gross,x1,plateau,15,0.05,0,15,1.0,0.7,0.3,1.0,15
B136,gross,x1,IS_4b_window,15,0.05,0,1,0.06666666666666667,0.0,1.0,1.0,1
B136,gross,x2,4b_window,29,0.025,0,1,0.034482758620689655,0.0,1.0,1.0,1
B136,gross,x2,plateau,29,0.025,0,29,1.0,0.7,0.3,1.0,29
B136,gross,x2,IS_4b_window,29,0.025,0,2,0.06896551724137931,0.025000000000000022,0.975,1.0,2
B136,gross,x4,4b_window,57,0.0125,0,1,0.017543859649122806,0.0,1.0,1.0,1
B136,gross,x4,plateau,57,0.0125,0,57,1.0,0.7,0.3,1.0,57
B136,gross,x4,IS_4b_window,57,0.0125,0,3,0.05263157894736842,0.025000000000000022,0.975,1.0,3
B136,n,x1,4b_window,10,4.0,0,0,0.0,,,,0
B136,n,x1,plateau,10,4.0,0,4,0.4,12.0,24.0,36.0,4
B136,n,x1,IS_4b_window,10,4.0,0,0,0.0,,,,0
B136,n,x2,4b_window,19,2.0,0,0,0.0,,,,0
B136,n,x2,plateau,19,2.0,0,9,0.47368421052631576,16.0,22.0,38.0,9
B136,n,x2,IS_4b_window,19,2.0,0,0,0.0,,,,0
B136,n,x4,4b_window,37,1.0,0,0,0.0,,,,0
B136,n,x4,plateau,37,1.0,0,18,0.4864864864864865,17.0,22.0,39.0,18
B136,n,x4,IS_4b_window,37,1.0,0,0,0.0,,,,0
SMALL439,band,x1,4b_window,13,0.01,0,0,0.0,,,,0
SMALL439,band,x1,plateau,13,0.01,0,8,0.6153846153846154,0.06999999999999999,0.05,0.12,8
SMALL439,band,x1,IS_4b_window,13,0.01,0,0,0.0,,,,0
SMALL439,band,x2,4b_window,25,0.005,0,0,0.0,,,,0
SMALL439,band,x2,plateau,25,0.005,0,15,0.6,0.06999999999999999,0.05,0.12,15
SMALL439,band,x2,IS_4b_window,25,0.005,0,0,0.0,,,,0
SMALL439,band,x4,4b_window,49,0.0025,0,0,0.0,,,,0
SMALL439,band,x4,plateau,49,0.0025,0,29,0.5918367346938775,0.06999999999999999,0.05,0.12,29
SMALL439,band,x4,IS_4b_window,49,0.0025,0,0,0.0,,,,0
SMALL439,gross,x1,4b_window,15,0.05,0,0,0.0,,,,0
SMALL439,gross,x1,plateau,15,0.05,0,15,1.0,0.7,0.3,1.0,15
SMALL439,gross,x1,IS_4b_window,15,0.05,0,0,0.0,,,,0
SMALL439,gross,x2,4b_window,29,0.025,0,0,0.0,,,,0
SMALL439,gross,x2,plateau,29,0.025,0,29,1.0,0.7,0.3,1.0,29
SMALL439,gross,x2,IS_4b_window,29,0.025,0,0,0.0,,,,0
