panel,book,gross,IS_be,OOS_be,full_be,d_OOS_IS
U56,CAP2,0.4,-1.0,-1.0,-1.0,0.0
U56,CAP2,0.55,-1.0,-1.0,-1.0,0.0
U56,CAP2,0.7,-1.0,44.0,19.0,45.0
U56,CAP2,0.75,3.0,60.0,34.0,57.0
U56,CAP2,0.85,16.0,80.0,52.0,64.0
U56,CAP2,1.0,15.0,85.0,54.0,70.0
U56,CAND,0.4,-1.0,-1.0,-1.0,0.0
U56,CAND,0.55,-1.0,4.0,-1.0,5.0
U56,CAND,0.7,8.0,57.0,35.0,49.0
U56,CAND,0.75,22.0,71.0,49.0,49.0
U56,CAND,0.85,32.0,49.0,49.0,17.0
U56,CAND,1.0,10.0,-1.0,-1.0,-11.0
B136,CAP2,0.4,-1.0,-1.0,-1.0,0.0
B136,CAP2,0.55,-1.0,-1.0,-1.0,0.0
B136,CAP2,0.7,27.0,17.0,21.0,-10.0
B136,CAP2,0.75,40.0,28.0,33.0,-12.0
B136,CAP2,0.85,45.0,34.0,42.0,-11.0
B136,CAP2,1.0,-1.0,-1.0,-1.0,0.0
B136,CAND,0.4,-1.0,-1.0,-1.0,0.0
B136,CAND,0.55,-1.0,-1.0,-1.0,0.0
B136,CAND,0.7,18.0,27.0,23.0,9.0
B136,CAND,0.75,25.0,39.0,35.0,14.0
B136,CAND,0.85,22.0,-1.0,-1.0,-23.0
B136,CAND,1.0,-1.0,-1.0,-1.0,0.0
