S,SIGN,SIGN+0.005,MODE-AGREE,mean_sd,mean_abs_shift
40,1,1,0,0.0044972784100816236,0.003824273123375574
200,1,1,0,0.003887015756986524,0.003474234514415431
1000,1,1,0,0.0037513777830280185,0.0035988758067351826
