w_star,k,admitted,mean_OOS_Sharpe,mean_OOS_CAGR,mean_OOS_MaxDD
0.0,1,51,0.827127406811531,0.09396677523235966,-0.19887614545739438
0.0,2,51,0.827127406811531,0.09396677523235966,-0.19887614545739438
0.0,3,51,0.827127406811531,0.09396677523235966,-0.19887614545739438
0.0,4,51,0.827127406811531,0.09396677523235966,-0.19887614545739438
0.05,1,31,1.0215531015948227,0.12274461883465242,-0.20042075025997266
0.05,2,25,1.0333227704387602,0.12664625082261805,-0.20718333102501876
0.05,3,12,1.0389668069719524,0.13263185406465075,-0.20792646373581855
0.05,4,4,1.1257840166396336,0.11837412816597544,-0.180416791865383
0.1,1,27,1.0062355171509614,0.12255064389767495,-0.1989175668596236
0.1,2,16,1.0248745326783235,0.126389081927886,-0.19854455812171107
0.1,3,8,1.0595701362292125,0.12986582423169415,-0.19665531387573826
0.1,4,4,1.1257840166396336,0.11837412816597544,-0.180416791865383
0.15,1,21,1.0029273025401757,0.12535576633244264,-0.20122566382988227
0.15,2,12,1.029375705975151,0.1268961741266475,-0.19447206995247956
0.15,3,7,1.0700732825746426,0.12833082357189884,-0.19364320610791608
0.15,4,3,1.131809326235597,0.11674542348611545,-0.17982298995096244
0.2,1,17,1.006423505091456,0.1269410276878593,-0.1978900789855242
0.2,2,12,1.029375705975151,0.1268961741266475,-0.19447206995247956
0.2,3,3,1.046925259334205,0.13469888358501267,-0.19900504165297997
0.2,4,1,1.1435914220811905,0.11963793121976118,-0.17796882056563695
0.25,1,16,0.9989660590104592,0.12828193969152274,-0.19995224396776237
0.25,2,2,1.0423205631352883,0.11900972198026316,-0.1770691502609218
0.25,3,0,,,
0.25,4,0,,,
0.3,1,11,0.9892724012572983,0.12637837764929521,-0.19410785793197674
0.3,2,1,1.1435914220811905,0.11963793121976118,-0.17796882056563695
0.3,3,0,,,
0.3,4,0,,,
0.35,1,1,0.9410497041893864,0.11838151274076514,-0.1761694799562066
0.35,2,0,,,
0.35,3,0,,,
0.35,4,0,,,
0.4,1,1,0.9410497041893864,0.11838151274076514,-0.1761694799562066
0.4,2,0,,,
0.4,3,0,,,
0.4,4,0,,,
0.45,1,0,,,
0.45,2,0,,,
0.45,3,0,,,
0.45,4,0,,,
0.5,1,0,,,
0.5,2,0,,,
0.5,3,0,,,
0.5,4,0,,,
0.55,1,0,,,
0.55,2,0,,,
0.55,3,0,,,
0.55,4,0,,,
0.6,1,0,,,
0.6,2,0,,,
0.6,3,0,,,
0.6,4,0,,,
