panel,arm,gross,close_L1_H1,close_L2_H2,close_L3_OOS,close_L4_DDcap,close_L5_CAGRfloor,close_4b,first_leg,n_alive_100bps
U56,CAND20,0.65,22.5,37.5,40.0,90.0,15.0,15.0,L5_CAGRfloor,0
U56,CAND20,0.7,22.5,37.5,40.0,80.0,22.5,22.5,L1_H1,0
U56,CAND20,0.75,22.5,37.5,40.0,70.0,27.5,22.5,L1_H1,0
U56,CAND20,0.8,22.5,37.5,40.0,57.5,35.0,22.5,L1_H1,0
U56,CAND20_VS,0.8,17.5,17.5,20.0,52.5,12.5,12.5,L5_CAGRfloor,0
U56,CAND20_VS,0.85,17.5,17.5,20.0,45.0,15.0,15.0,L5_CAGRfloor,0
U56,CAND20_NOCAP,0.6,37.5,40.0,42.5,85.0,20.0,20.0,L5_CAGRfloor,0
U56,CAND20_NOCAP,0.65,37.5,42.5,42.5,72.5,30.0,30.0,L5_CAGRfloor,0
U56,CAND20_NOCAP,0.7,37.5,42.5,42.5,27.5,37.5,27.5,L4_DDcap,0
U56,EWELIG,0.8,25.0,35.0,40.0,57.5,15.0,15.0,L5_CAGRfloor,0
U56,EWELIG,0.85,25.0,35.0,40.0,47.5,22.5,22.5,L5_CAGRfloor,0
U56,EWELIG,0.9,25.0,35.0,40.0,37.5,27.5,25.0,L1_H1,0
U56,EWELIG,0.95,25.0,35.0,40.0,27.5,32.5,25.0,L1_H1,0
U56,BAND03,0.95,,,,,25.0,25.0,L5_CAGRfloor,4
U56,BAND03,1.0,,,,,47.5,47.5,L5_CAGRfloor,4
U56,BAND03,1.05,,,,,67.5,67.5,L5_CAGRfloor,4
U56,BAND03,1.1,,,,,85.0,85.0,L5_CAGRfloor,4
U56,BAND03,1.15,,,,,100.0,100.0,L5_CAGRfloor,4
U56,BAND03,1.2,,,,,,,NONE<=100bps,5
U56,BAND03,1.25,,,,,,,NONE<=100bps,5
B136,CAND20_NOCAP,0.55,32.5,12.5,17.5,62.5,12.5,12.5,L2_H2,0
B136,CAND20_NOCAP,0.6,35.0,12.5,17.5,50.0,20.0,12.5,L2_H2,0
B136,EWELIG,0.75,37.5,20.0,27.5,50.0,12.5,12.5,L5_CAGRfloor,0
B136,EWELIG,0.8,37.5,20.0,27.5,37.5,20.0,20.0,L2_H2,0
B136,EWELIG,0.85,37.5,20.0,27.5,20.0,25.0,20.0,L2_H2,0
B136,BAND03,1.0,,57.5,87.5,,12.5,12.5,L5_CAGRfloor,2
B136,BAND03,1.05,,57.5,87.5,,30.0,30.0,L5_CAGRfloor,2
B136,BAND03,1.1,,57.5,87.5,,45.0,45.0,L5_CAGRfloor,2
B136,BAND03,1.15,,57.5,87.5,,60.0,57.5,L2_H2,2
B136,BAND03,1.2,,57.5,87.5,,72.5,57.5,L2_H2,2
B136,BAND03,1.25,,57.5,87.5,62.5,85.0,57.5,L2_H2,1
