panel,family,level,cad,gross,con,CAGR,Sharpe,MaxDD,H1,H2,isCAGR,isSharpe,isMaxDD,oCAGR,oSharpe,oMaxDD,turn_yr,p4a,f4b,p4b
SMALL439,QUANTILE,0.2,D,0.5,RESPREAD,0.016107297233261875,0.2127939529459253,-0.30845752887030853,0.011390797938850786,0.3556744912989523,-0.012956474100602078,-0.12247666677350776,-0.18517513112305484,0.03441457688483607,0.37051075934964406,-0.3084575288703074,18.547527234878526,False,"H1,H2,OOS,DD,CAGR",False
SMALL439,QUANTILE,0.2,D,0.5,DEGROSS,0.003942686980861199,0.210889705905153,-0.06977176907121807,0.008856651120427883,0.35434893142477863,-0.002128197762120143,-0.12413100745173979,-0.0393629496741017,0.007696574394902456,0.3687389300019735,-0.06977176907121696,3.7497077384088513,False,"H1,H2,OOS,CAGR",False
SMALL439,QUANTILE,0.2,D,0.75,RESPREAD,0.0206375799521894,0.2131538782427728,-0.4296247125356878,0.011701167107289656,0.35607948933954847,-0.021708535240847815,-0.1221602769210111,-0.26791839731888833,0.0476000176008704,0.37089608045755695,-0.429624712535688,27.768841891560374,False,"H1,H2,OOS,DD,CAGR",False
SMALL439,QUANTILE,0.2,D,0.75,DEGROSS,0.00578175050815255,0.21111055014325056,-0.10309105366825999,0.00906287546771532,0.3545864462934841,-0.003282719546758517,-0.12392261047039103,-0.05863020461379087,0.011400234934719977,0.36896842945225733,-0.10309105366826143,5.618095963353703,False,"H1,H2,OOS,CAGR",False
SMALL439,QUANTILE,0.2,D,1.0,RESPREAD,0.022672117756142418,0.21311132036300554,-0.532281457556119,0.01162066993635494,0.3560619384482504,-0.03199336159444699,-0.12223880154584868,-0.3443951151102431,0.05783225948806758,0.37087038612874296,-0.5322814575561194,37.03352166129411,False,"H1,H2,OOS,DD,CAGR",False
SMALL439,QUANTILE,0.2,D,1.0,DEGROSS,0.0075313249044461905,0.21131848081996146,-0.13539922154218664,0.00925628629949382,0.3548105868651435,-0.004497713138785886,-0.12372695969545981,-0.07762513015488437,0.015005175758011413,0.36918477125869475,-0.13539922154218453,7.48267795244218,False,"H1,H2,OOS,CAGR",False
SMALL439,QUANTILE,0.2,W,0.5,RESPREAD,0.04571707351688703,0.506395064400567,-0.267008586238894,0.4721678373162587,0.5443331650546699,0.032125699691779364,0.4296090465441577,-0.12898158880636368,0.054168935521686556,0.5483148550432122,-0.2670085862388929,8.1934942581626,False,"H1,H2,OOS,DD,CAGR",False
SMALL439,QUANTILE,0.2,W,0.5,DEGROSS,0.009745249845717341,0.5052446411682227,-0.05866198313576765,0.4681504504224774,0.5449639509197622,0.00684427731582149,0.4260085857492575,-0.02689835603377999,0.011534433241235709,0.548292828803337,-0.05866198313576676,1.6575880023409897,False,"H1,H2,OOS,CAGR",False
SMALL439,QUANTILE,0.2,W,0.75,RESPREAD,0.06564761973249511,0.5067714564214656,-0.37834412227174985,0.47380617920207346,0.5439112273203243,0.04623758161805869,0.4314935822614917,-0.18892908753124948,0.0777695712548816,0.5479926176708503,-0.3783441222717504,12.26121421465295,False,"H1,H2,OOS,DD,CAGR",False
SMALL439,QUANTILE,0.2,W,0.75,DEGROSS,0.014514582564065792,0.5053687660506184,-0.08700833284061482,0.46852013886909416,0.5449293865645377,0.01019466362058985,0.42642393749070606,-0.040159155577557004,0.017181897659635625,0.5482815117337044,-0.08700833284061571,2.483373090302271,False,"H1,H2,OOS,CAGR",False
SMALL439,QUANTILE,0.2,W,1.0,RESPREAD,0.08338048592927638,0.5070165171795442,-0.4763955917707787,0.47534020200098115,0.5433501822177346,0.05893338646494595,0.43327985079354303,-0.24593587102601144,0.09870298013881507,0.5475250243293328,-0.4763955917707797,16.344403787143772,False,"H1,H2,OOS,DD,CAGR",False
