panel,cost_bps,basis,argmax,argmax_Sharpe,W_Sharpe,gap_vs_W
U56,0.0,FULL_SHARPE,W,1.19309291733846,1.19309291733846,0.0
U56,10.0,FULL_SHARPE,W,1.1716623554016101,1.1716623554016101,0.0
U56,25.0,FULL_SHARPE,W,1.139436798638861,1.139436798638861,0.0
U56,50.0,FULL_SHARPE,W,1.085535520634901,1.085535520634901,0.0
B136,0.0,FULL_SHARPE,M,1.1100378644624331,1.0839582887759747,0.026079575686458467
B136,10.0,FULL_SHARPE,M,1.0949664969412303,1.0630027470342966,0.031963749906933625
B136,25.0,FULL_SHARPE,M,1.0721740630600898,1.0314028185988933,0.04077124446119651
B136,50.0,FULL_SHARPE,M,1.0337255924183255,0.9783373250102698,0.05538826740805569
SMALL,0.0,FULL_SHARPE,W,0.5797107955041377,0.5797107955041377,0.0
SMALL,10.0,FULL_SHARPE,W,0.5569518940285322,0.5569518940285322,0.0
SMALL,25.0,FULL_SHARPE,W,0.5227437000714499,0.5227437000714499,0.0
SMALL,50.0,FULL_SHARPE,W,0.4656023549666493,0.4656023549666493,0.0
