family,n_lo,n_hi,n_mid,share_lo,share_hi,lo_ok,hi_ok,n,med_ratio,med_be,sens_share
BAND_v2,0,6,3,,0.8333333333333334,0,5,9,1.6527773868203455,13.419873046875,0.6666666666666666
CAD_v1,0,13,0,,0.6923076923076923,0,9,13,4.993341848186975,6.293408203125,0.6923076923076923
CAD_v2,0,13,1,,0.3076923076923077,0,4,14,1.9824900663836174,19.237841796875006,0.35714285714285715
GROSS_v2,0,5,1,,0.0,0,0,6,1.9864025937039207,,0.0
N_v1,7,0,6,0.8571428571428571,,6,0,13,1.1574023052493014,6.786767578125001,0.3076923076923077
VOLSC_v1,1,0,0,1.0,,1,0,1,1.0997022230978732,32.947412109374994,0.0
[panel] B136,1,12,4,0.0,0.75,0,9,17,1.9671858554025567,5.519287109375,0.7647058823529411
[panel] SMALL665,7,13,4,1.0,0.23076923076923078,7,3,24,1.5835759438715402,28.862011718750004,0.125
[panel] U56,0,12,3,,0.5,0,6,15,2.121720150895606,13.450683593750002,0.5333333333333333
