selector,pool,sleeve,weighting,gross,IS_Sharpe,IS_4b,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_4b,OOS_4a,FULL_CAGR,FULL_Sharpe,FULL_MaxDD,FULL_4b,FULL_4a
PICK_IS_SHARPE,ALLCELLS,SINGLE20,EW,1.0,1.444765987866466,False,0.318585384287174,1.327623952667217,-0.3181871889464154,False,False,0.3151020467249199,1.374546990309804,-0.31818718894641496,False,False
PICK_IS_SHARPE,NO_SPYONLY,SINGLE20,EW,1.0,1.444765987866466,False,0.318585384287174,1.327623952667217,-0.3181871889464154,False,False,0.3151020467249199,1.374546990309804,-0.31818718894641496,False,False
PICK_IS_4b_THEN_SHARPE,ALLCELLS,SINGLE20,EW,0.7,1.4436427029866739,True,0.2194900002621203,1.3253868485272577,-0.22937287778923854,False,False,0.21679315675452138,1.3728651704953307,-0.2293728777892391,False,False
PICK_IS_4b_THEN_SHARPE,NO_SPYONLY,SINGLE20,EW,0.7,1.4436427029866739,True,0.2194900002621203,1.3253868485272577,-0.22937287778923854,False,False,0.21679315675452138,1.3728651704953307,-0.2293728777892391,False,False
PICK_IS_CALMAR,ALLCELLS,SINGLE20,EW,1.0,1.444765987866466,False,0.318585384287174,1.327623952667217,-0.3181871889464154,False,False,0.3151020467249199,1.374546990309804,-0.31818718894641496,False,False
PICK_IS_CALMAR,NO_SPYONLY,SINGLE20,EW,1.0,1.444765987866466,False,0.318585384287174,1.327623952667217,-0.3181871889464154,False,False,0.3151020467249199,1.374546990309804,-0.31818718894641496,False,False
PICK_IS_SHARPE_g075,ALLCELLS,SINGLE20,EW,0.75,1.4438620763822583,False,0.23583468321162737,1.325797124519598,-0.24459546522499576,False,False,0.2329858075820681,1.3731816870198834,-0.24459546522499598,False,False
PICK_IS_SHARPE_g075,NO_SPYONLY,SINGLE20,EW,0.75,1.4438620763822583,False,0.23583468321162737,1.325797124519598,-0.24459546522499576,False,False,0.2329858075820681,1.3731816870198834,-0.24459546522499598,False,False
PICK_LIVE_EWALL,ALLCELLS,ALL56,EW,0.75,1.1099760419372977,True,0.13701664432325344,1.128103058486071,-0.22525880022924205,False,False,0.1320698136046219,1.1197487040242837,-0.22525880022924216,False,False
PICK_LIVE_EWALL,NO_SPYONLY,ALL56,EW,0.75,1.1099760419372977,True,0.13701664432325344,1.128103058486071,-0.22525880022924205,False,False,0.1320698136046219,1.1197487040242837,-0.22525880022924216,False,False
