k,n,STATIC,CEILING,MAXMARG,MIDPOINT
20,5,0.02,0.02,0.06,0.06
20,20,0.0,0.12,0.12,0.12
40,5,0.0,0.0,0.02,0.02
40,20,0.34,0.04,0.28,0.26
80,5,0.02,0.02,0.04,0.04
80,20,0.46,0.0,0.3,0.34
