panel,cost_bps,n_other4,n_binding,R
U56,0.0,158,0,1.0
U56,5.0,144,0,1.0
U56,10.0,122,0,1.0
U56,25.0,81,0,1.0
U56,50.0,38,0,1.0
B136,0.0,166,0,1.0
B136,5.0,162,0,1.0
B136,10.0,145,0,1.0
B136,25.0,109,0,1.0
B136,50.0,60,0,1.0
SMALL,0.0,1,0,1.0
SMALL,5.0,1,0,1.0
SMALL,10.0,1,0,1.0
SMALL,25.0,0,0,
SMALL,50.0,0,0,
