cost_bps,pickset,n,rho_spread,rho_flip,partial_flip_given_spread,rho_oos_vs_is_spread,mean_flip_rate,mean_worst_cost
0.0,CORE5,15,0.879720502924256,0.43395152490572203,0.26100934557516997,0.43214285714285705,0.6121212121212122,0.1144612457520565
0.0,EXT9,27,0.8717494619291808,0.28347091587034295,0.10103528716977776,0.47496947496947495,0.5757575757575757,0.10527979631596018
5.0,CORE5,15,0.879720502924256,0.5594896884524271,0.19633874133000037,0.5,0.6424242424242425,0.11623601593015405
5.0,EXT9,27,0.894633271855665,0.33328160872810136,0.1164100961821482,0.44505494505494503,0.5892255892255892,0.10797318061069988
10.0,CORE5,15,0.8546867367576368,0.3862047841991938,0.2613343764938128,0.557142857142857,0.6363636363636365,0.12672399873543386
10.0,EXT9,27,0.76356903554486,0.29720528560494713,0.3954109901210631,0.5390720390720389,0.5656565656565656,0.11172147075079662
25.0,CORE5,15,0.8853103461748276,0.32636660629178005,0.2327392561775672,0.6107142857142855,0.6545454545454545,0.1403438448243292
25.0,EXT9,27,0.7368527318667604,0.10793287113095507,0.29670751602351597,0.6581196581196581,0.5488215488215489,0.15151571578933698
50.0,CORE5,15,0.7571428571428571,0.11144457452438511,0.3797691502196404,0.7142857142857142,0.6545454545454545,0.142357471844573
50.0,EXT9,27,0.632581042364356,-0.04050174497813272,0.2722527560717215,0.8107448107448108,0.531986531986532,0.1967654077375166
