rule,sigma,n,res_text,res_script,lost,gained,flips,share_flip
R_NOUN,sigma_CELL,25,12,18,0,6,6,0.24
R_NOUN,sigma_FOLD,25,7,13,0,6,6,0.24
R_NEAREST,sigma_CELL,147,70,75,1,6,7,0.047619047619047616
R_NEAREST,sigma_FOLD,147,24,28,2,6,8,0.05442176870748299
R_MAXART,sigma_CELL,147,70,115,0,45,45,0.30612244897959184
R_MAXART,sigma_FOLD,147,24,91,0,67,67,0.4557823129251701
