stamp,claimset,n_claims,n_changes_reading,share_changes,n_already_complete,n_bind_no_leg,n_names_leg,n_names_cstar,n_multi_leg,n_rescorable
S_NONE,NARROW,59,0,0.0,59,0,59,54,17,1
S_LEG,NARROW,59,17,0.288135593220339,42,0,59,54,17,1
S_CSTAR,NARROW,59,5,0.0847457627118644,54,0,59,54,17,1
S_BOTH,NARROW,59,20,0.3389830508474576,39,0,59,54,17,1
S_NONE,PROX,125,0,0.0,125,0,125,110,37,2
S_LEG,PROX,125,37,0.296,88,0,125,110,37,2
S_CSTAR,PROX,125,15,0.12,110,0,125,110,37,2
S_BOTH,PROX,125,49,0.392,76,0,125,110,37,2
S_NONE,WIDE,2088,0,0.0,2088,293,212,110,50,82
S_LEG,WIDE,2088,1926,0.9224137931034483,162,293,212,110,50,82
S_CSTAR,WIDE,2088,1978,0.9473180076628352,110,293,212,110,50,82
S_BOTH,WIDE,2088,2012,0.9636015325670498,76,293,212,110,50,82
