universe,sleeve,book,conv,f_star,IS_Sharpe,IS_monotone_down,OOS_Sharpe_at_fstar,OOS_Sharpe_anchor,best_OOS_in_grid,f_best_OOS,regret,spy_OOS,base_OOS,full_4b
u56,S9,v1,natural,0.75,0.6261902684019259,False,1.0377067753754445,0.747063834691694,1.0892413890938102,1.0,-0.05153461371836565,0.8820107671822842,0.747063834691694,False
u56,S9,v1,matched,1.0,0.7387328025862568,False,0.9880377122578478,0.747063834691694,1.0028909255376475,0.75,-0.014853213279799715,0.8820107671822842,0.747063834691694,False
u56,S9,top20,natural,0.0,0.9928968404730495,True,1.167991233806965,1.167991233806965,1.1925529224553246,0.5,-0.024561688648359725,0.8820107671822842,0.747063834691694,True
u56,S9,top20,matched,0.0,0.9928968404730495,True,1.167991233806965,1.167991233806965,1.1705993150857108,0.25,-0.0026080812787458996,0.8820107671822842,0.747063834691694,True
u56,S9,ewall,natural,0.0,0.9680079228325479,True,1.1132841948586054,1.1132841948586054,1.1657137190973876,0.5,-0.05242952423878222,0.8820107671822842,0.747063834691694,False
u56,S9,ewall,matched,0.0,0.9680079228325479,True,1.1132841948586054,1.1132841948586054,1.1150198772384428,0.25,-0.0017356823798373444,0.8820107671822842,0.747063834691694,False
u56,S4,v1,natural,0.5,0.6221775820790981,False,0.9310642574823336,0.747063834691694,1.0176717549559697,0.75,-0.08660749747363616,0.8820107671822842,0.747063834691694,False
u56,S4,v1,matched,0.5,0.6377702494573503,False,0.8931800103944064,0.747063834691694,0.9510055459913858,0.75,-0.05782553559697934,0.8820107671822842,0.747063834691694,False
u56,S4,top20,natural,0.5,1.0405884901032512,False,1.308068871247853,1.167991233806965,1.3106045208005137,0.75,-0.0025356495526607237,0.8820107671822842,0.747063834691694,False
u56,S4,top20,matched,0.5,1.0708103792655403,False,1.2657134760882378,1.167991233806965,1.2657134760882378,0.5,0.0,0.8820107671822842,0.747063834691694,False
u56,S4,ewall,natural,0.5,1.0200601408435792,False,1.279587333161305,1.1132841948586054,1.279587333161305,0.5,0.0,0.8820107671822842,0.747063834691694,False
u56,S4,ewall,matched,0.5,1.0587983692617051,False,1.246965893236008,1.1132841948586054,1.246965893236008,0.5,0.0,0.8820107671822842,0.747063834691694,False
broad,S9,v1,natural,0.5,0.7283287282604111,False,0.8365063135856977,0.5762505378038233,1.090151504207593,1.0,-0.2536451906218954,0.8820239235972316,0.5762505378038233,False
broad,S9,v1,matched,0.75,0.7893291692953817,False,0.9153995819667825,0.5762505378038233,0.9944619221901007,1.0,-0.07906234022331815,0.8820239235972316,0.5762505378038233,False
broad,S9,top20,natural,0.0,1.043837850225855,True,0.8919165372280256,0.8919165372280256,1.090151504207593,1.0,-0.19823496697956755,0.8820239235972316,0.5762505378038233,False
broad,S9,top20,matched,0.0,1.043837850225855,True,0.8919165372280256,0.8919165372280256,1.0022895824868077,0.75,-0.11037304525878211,0.8820239235972316,0.5762505378038233,False
broad,S9,ewall,natural,0.0,1.0324870696635413,True,1.0190519497098376,1.0190519497098376,1.136498268338286,0.75,-0.11744631862844845,0.8820239235972316,0.5762505378038233,True
broad,S9,ewall,matched,0.0,1.0324870696635413,True,1.0190519497098376,1.0190519497098376,1.079628078858749,0.75,-0.060576129148911306,0.8820239235972316,0.5762505378038233,True
broad,S4,v1,natural,0.5,0.7844213789988799,False,0.7887301265859267,0.5762505378038233,0.9349373478705169,0.75,-0.14620722128459018,0.8820239235972316,0.5762505378038233,False
broad,S4,v1,matched,0.5,0.7553117236167227,False,0.7198700371083785,0.5762505378038233,0.8219607426150373,0.75,-0.10209070550665877,0.8820239235972316,0.5762505378038233,False
broad,S4,top20,natural,0.5,1.1267351207569252,False,1.052523243946113,0.8919165372280256,1.1568745074928093,0.75,-0.10435126354669633,0.8820239235972316,0.5762505378038233,False
broad,S4,top20,matched,0.5,1.1521707259086016,False,1.000854323306036,0.8919165372280256,1.048015049311287,0.75,-0.0471607260052509,0.8820239235972316,0.5762505378038233,False
broad,S4,ewall,natural,0.5,1.1363060778243377,False,1.2317346943625984,1.0190519497098376,1.2646303417611742,0.75,-0.032895647398575756,0.8820239235972316,0.5762505378038233,False
broad,S4,ewall,matched,0.5,1.1660907228327764,False,1.2013092902510765,1.0190519497098376,1.2071130093124465,0.75,-0.005803719061370005,0.8820239235972316,0.5762505378038233,False
