parser,sample,files,resolved,resolved_frac,SET,FIRSTFAIL,MIXED,UNKNOWN,mislabelled_files,mislabelled_rows,recovered_soleOOS
strict,all,587,416,0.7086882453151618,415,1,0,171,24,1488,1
strict,singleton,63,25,0.3968253968253968,24,1,0,38,24,1488,1
loose,all,587,433,0.737649063032368,432,1,0,154,27,1524,1
loose,singleton,63,28,0.4444444444444444,27,1,0,35,27,1524,1
