panel,book,gross,cadence,chooser,phase,n_phases,blind_4b_OOS,blind_4a,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,base_OOS_CAGR,base_OOS_Sharpe,pass4b_OOS,pass4b_FULL,pass4a
B136,BAND03,0.75,M,C_ISSHARPE,5,21,0.0,0.0,0.07974457337537322,0.9559095801478756,-0.21097767503389364,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
B136,BAND03,0.75,M,C_ISCAGR,5,21,0.0,0.0,0.07974457337537322,0.9559095801478756,-0.21097767503389364,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
B136,BAND03,0.75,M,C_ISCALMAR,0,21,0.0,0.0,0.08248365266580437,1.0844057926375001,-0.15687661157283028,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
B136,BAND03,0.75,Q,C_ISSHARPE,57,63,0.0,0.0,0.07551334176332203,0.8560898693754552,-0.22287875674147262,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
B136,BAND03,0.75,Q,C_ISCAGR,47,63,0.0,0.0,0.08361569385099821,0.9181115047143649,-0.2219029173988144,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
B136,BAND03,0.75,Q,C_ISCALMAR,47,63,0.0,0.0,0.08361569385099821,0.9181115047143649,-0.2219029173988144,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
B136,BAND03,1.0,M,C_ISSHARPE,5,21,0.2857142857142857,0.0,0.10584240829927372,0.9404504670722487,-0.28048781994374994,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
B136,BAND03,1.0,M,C_ISCAGR,5,21,0.2857142857142857,0.0,0.10584240829927372,0.9404504670722487,-0.28048781994374994,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
B136,BAND03,1.0,M,C_ISCALMAR,0,21,0.2857142857142857,0.0,0.1103584979956771,1.085014795637803,-0.2050136406317684,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
B136,BAND03,1.0,Q,C_ISSHARPE,57,63,0.1111111111111111,0.0,0.10049898549246006,0.8475958301175307,-0.2938086942545878,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
B136,BAND03,1.0,Q,C_ISCAGR,47,63,0.1111111111111111,0.0,0.1114321409496184,0.9061249379648013,-0.2940722373205571,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
B136,BAND03,1.0,Q,C_ISCALMAR,47,63,0.1111111111111111,0.0,0.1114321409496184,0.9061249379648013,-0.2940722373205571,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
B136,EWELIG,0.75,M,C_ISSHARPE,9,21,0.14285714285714285,0.0,0.10556316609931282,0.9651361666926177,-0.20752636074872632,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
B136,EWELIG,0.75,M,C_ISCAGR,9,21,0.14285714285714285,0.0,0.10556316609931282,0.9651361666926177,-0.20752636074872632,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
B136,EWELIG,0.75,M,C_ISCALMAR,20,21,0.14285714285714285,0.0,0.11690838179636609,1.0360977303164067,-0.22280027948796965,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
B136,EWELIG,0.75,Q,C_ISSHARPE,52,63,0.047619047619047616,0.0,0.11836473582887819,1.014710084011132,-0.24209897508176903,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
B136,EWELIG,0.75,Q,C_ISCAGR,57,63,0.047619047619047616,0.0,0.10301584987149282,0.9113780905404948,-0.2413108981997245,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
B136,EWELIG,0.75,Q,C_ISCALMAR,52,63,0.047619047619047616,0.0,0.11836473582887819,1.014710084011132,-0.24209897508176903,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
B136,EWELIG,1.0,M,C_ISSHARPE,9,21,0.0,0.0,0.13983274286771108,0.9538514193121687,-0.27645258964997066,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
B136,EWELIG,1.0,M,C_ISCAGR,9,21,0.0,0.0,0.13983274286771108,0.9538514193121687,-0.27645258964997066,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
B136,EWELIG,1.0,M,C_ISCALMAR,20,21,0.0,0.0,0.15625214647126784,1.0335866560441997,-0.2908697200610937,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
B136,EWELIG,1.0,Q,C_ISSHARPE,52,63,0.0,0.0,0.1583325720091111,1.0068660510198943,-0.31971880591914315,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,False,False,False
