panel,tilt,bar,m_star_point,boot_median,lo5,hi95,width,censored
u56,INV,INC,,0.05,0.05,0.05,0.0,0.998
u56,INV,OVL,,0.05,0.05,0.9699801633576866,0.9199801633576865,0.8265
u56,INV,FLAT,,0.9660599499974428,0.8368187191734279,0.9963917239648394,0.15957300479141157,0.9825
u56,POS,INC,,0.05,0.05,0.9967266181686679,0.9467266181686679,0.914
u56,POS,OVL,0.05,0.05,0.05,0.7746299006782167,0.7246299006782166,0.283
u56,POS,FLAT,,0.9034672033870285,0.05,0.9927055649634368,0.9427055649634367,0.8485
broad,INV,INC,,0.05,0.05,0.05,0.0,0.996
broad,INV,OVL,,0.05,0.05,0.9901922719613593,0.9401922719613592,0.6685
broad,INV,FLAT,,0.9836240638695697,0.8823894387896578,0.9972852637997962,0.1148958250101384,0.967
broad,POS,INC,,0.9241059432623617,0.05,0.9987995287354625,0.9487995287354625,0.972
broad,POS,OVL,,0.29392319881815954,0.05,0.9815631417740488,0.9315631417740488,0.575
broad,POS,FLAT,,0.9769408271630016,0.694797846768132,0.9981382606856706,0.3033404139175385,0.8795
small,INV,INC,0.05,0.05,0.05,0.05,0.0,0.9465
small,INV,OVL,0.05,0.05,0.05,0.9191022136290167,0.8691022136290166,0.041
small,INV,FLAT,,0.9850134706041695,0.05,0.9985673461098996,0.9485673461098996,0.7095
small,POS,INC,,0.9470971200166833,0.05,0.9977505789376949,0.9477505789376949,0.7195
small,POS,OVL,0.6688480566997008,0.638060174745267,0.05,0.9302536091904873,0.8802536091904872,0.124
small,POS,FLAT,0.997249316998519,0.9588864409388039,0.7157209561849587,0.9959317912406647,0.280210835055706,0.6225
