panel,book,draws,cost,null_4a,null_4b,null_Sharpe_med,null_CAGR_med,null_MaxDD_med,null_OOS_Sharpe_med,null_gross_med,null_turnover_med,cand_gross,cand_turnover,cand_Sharpe,cand_CAGR,cand_MaxDD,cand_OOS_Sharpe,cand_keep4b,pct_Sharpe,pct_CAGR,pct_MaxDD,pct_OOS_Sharpe,p_Sharpe
U56,RANDFIX,250,0.0,0.032,0.004,1.0857524447671287,0.0722158884485149,-0.1088820514847888,1.2031104156522172,0.5004885993485342,3.2111872651683195,0.7167345276872964,9.637599733674872,1.1737332649574452,0.13722318057535277,-0.18220023181479594,1.2436652338985876,True,0.776,1.0,0.0,0.624,0.22399999999999998
U56,RANDFIX,250,10.0,0.02,0.0,1.0367056971079651,0.06881820465342003,-0.10964123770157724,1.1550066989301775,0.5004885993485342,3.2111872651683195,0.7167345276872964,9.637599733674872,1.0903234965107311,0.12632357265863292,-0.18308335704557788,1.164764331653914,True,0.672,1.0,0.0,0.532,0.32799999999999996
U56,RANDFIX,250,25.0,0.008,0.0,0.9650566198565298,0.06364254279019699,-0.11139600445173675,1.079400860642818,0.5004885993485342,3.2111872651683195,0.7167345276872964,9.637599733674872,0.9648891687602643,0.11016499141057334,-0.18440699236416414,1.04610965884594,True,0.496,1.0,0.0,0.396,0.504
U56,RANDFIX,500,0.0,0.034,0.002,1.0873885384092428,0.07230627500099418,-0.10798865488828513,1.2045566599875086,0.4997964169381107,3.209909853160973,0.7167345276872964,9.637599733674872,1.1737332649574452,0.13722318057535277,-0.18220023181479594,1.2436652338985876,True,0.782,1.0,0.0,0.636,0.21799999999999997
U56,RANDFIX,500,10.0,0.026,0.0,1.0397087661851547,0.0689520555609825,-0.10921504595363318,1.1545716214546213,0.4997964169381107,3.209909853160973,0.7167345276872964,9.637599733674872,1.0903234965107311,0.12632357265863292,-0.18308335704557788,1.164764331653914,True,0.676,1.0,0.0,0.534,0.32399999999999995
U56,RANDFIX,500,25.0,0.014,0.0,0.9675043891332422,0.06367973803989868,-0.11118908409109113,1.0813790987043932,0.4997964169381107,3.209909853160973,0.7167345276872964,9.637599733674872,0.9648891687602643,0.11016499141057334,-0.18440699236416414,1.04610965884594,True,0.492,1.0,0.0,0.388,0.508
U56,RANDFIX,1000,0.0,0.036,0.001,1.091779350001719,0.07226173865615027,-0.10805479224791159,1.2092062149754548,0.49957247557003254,3.1997476448246127,0.7167345276872964,9.637599733674872,1.1737332649574452,0.13722318057535277,-0.18220023181479594,1.2436652338985876,True,0.78,1.0,0.0,0.612,0.21999999999999997
U56,RANDFIX,1000,10.0,0.024,0.0,1.044372031416151,0.06895791333219403,-0.10906380713079328,1.1625129327153871,0.49957247557003254,3.1997476448246127,0.7167345276872964,9.637599733674872,1.0903234965107311,0.12632357265863292,-0.18308335704557788,1.164764331653914,True,0.674,1.0,0.0,0.508,0.32599999999999996
U56,RANDFIX,1000,25.0,0.013,0.0,0.9708598698514233,0.06394733401994368,-0.11081354229315055,1.090091614978535,0.49957247557003254,3.1997476448246127,0.7167345276872964,9.637599733674872,0.9648891687602643,0.11016499141057334,-0.18440699236416414,1.04610965884594,True,0.478,1.0,0.0,0.385,0.522
U56,RANDROT,250,0.0,0.0,0.804,1.1340085177414445,0.11011344149377067,-0.15765795029475843,1.2009701095978322,0.7195032573289902,36.49813519290565,0.7167345276872964,9.637599733674872,1.1737332649574452,0.13722318057535277,-0.18220023181479594,1.2436652338985876,True,0.776,1.0,0.0,0.7,0.22399999999999998
U56,RANDROT,250,10.0,0.0,0.0,0.7554269517910506,0.07019158669729442,-0.15961015956104235,0.8173358146792375,0.7195032573289902,36.49813519290565,0.7167345276872964,9.637599733674872,1.0903234965107311,0.12632357265863292,-0.18308335704557788,1.164764331653914,True,1.0,1.0,0.0,1.0,0.0
U56,RANDROT,250,25.0,0.0,0.0,0.1827978763536,0.013082103235532494,-0.21765533869303533,0.23772181894985614,0.7195032573289902,36.49813519290565,0.7167345276872964,9.637599733674872,0.9648891687602643,0.11016499141057334,-0.18440699236416414,1.04610965884594,True,1.0,1.0,0.924,1.0,0.0
