key,citations,rows,scripts,panel,form,n,gross,freq,gross_assumed,freq_assumed,pub_CAGR,pub_Sharpe,pub_MaxDD,row_date,pub_ambiguous
U56/R620/g0.75/M,603,10,2,U56,R6,20,0.75,M,False,False,0.13025,1.09035,-0.1881,2026-09-06,False
U56/CAND20/g0.75/M,519,10,3,U56,CAND,20,0.75,M,False,False,0.13424999999999998,1.1334,-0.19595,2026-09-06,True
B136/EWALL/g0.75/W,134,17,15,B136,EWALL,0,0.75,W,False,False,0.1252,1.0923,-0.18,2026-09-10,True
U56/EWALL/g0.75/W,132,8,7,U56,EWALL,0,0.75,W,False,False,0.11900000000000001,1.13,-0.174,2026-09-09,True
U56/CAND20/g0.75/W,93,12,9,U56,CAND,20,0.75,W,False,False,0.12785,1.135,-0.17759999999999998,2026-09-10,True
U56/CAND20/g0.80/W,84,3,2,U56,CAND,20,0.8,W,False,True,0.135,1.09,-0.195,2026-09-04,False
B136/CAND20/g0.75/W,76,9,8,B136,CAND,20,0.75,W,True,True,0.1308,1.1963,-0.1894,2026-09-11,True
B136/MA-DG/g0.75/W,68,10,10,B136,MA-DG,0,0.75,W,False,True,0.1219,1.1521,-0.092,2026-09-11,True
BSTK100/CAND20/g0.75/W,68,3,3,BSTK100,CAND,20,0.75,W,False,False,0.127,1.098,0.00449999999999999,2026-09-09,True
SMALL/CAND20/g0.75/W,34,4,4,SMALL,CAND,20,0.75,W,False,False,0.129,1.11,-0.189,2026-09-11,True
