chooser,panel,band,gross,trade,B,leg,margin,se,t,lo90,hi90,lo95,hi95
C1,B136,0.08,1.0,W,10,O3_OOS,0.21841406808013408,0.1559542150374263,1.4005012177947131,-0.04746758694503007,0.4587914845361129,-0.08609236302247403,0.506466341656027
C1,B136,0.08,1.0,W,10,O4_DD,0.00731161269726191,0.03367648102427005,0.21711332285557267,-0.04234134493805076,0.07082484457499207,-0.05153705298751447,0.0833161139669962
C1,B136,0.08,1.0,W,10,O5_CAGR,0.0029954535040043473,0.021851083928139073,0.13708489308152377,-0.034310458180976645,0.03605367385294725,-0.043807465238838966,0.043004678463476054
C1,B136,0.08,1.0,W,21,O3_OOS,0.21841406808013408,0.14650916530338767,1.4907877444243673,-0.011227279417372562,0.47338877812087804,-0.06082364700141016,0.5151596899603809
C1,B136,0.08,1.0,W,21,O4_DD,0.00731161269726191,0.028873695091969125,0.2532274679071314,-0.03585947983080737,0.05898147955484766,-0.043374995774728656,0.07042785148738308
C1,B136,0.08,1.0,W,21,O5_CAGR,0.0029954535040043473,0.020855013065736977,0.1436323005198987,-0.03212752655812153,0.03636972534216765,-0.04251136689601448,0.03992077024854006
C1,B136,0.08,1.0,W,63,O3_OOS,0.21841406808013408,0.1398933092013699,1.5612903099299569,-0.015038036747486343,0.44108754111193105,-0.06570176586904793,0.49088519195498503
C1,B136,0.08,1.0,W,63,O4_DD,0.00731161269726191,0.025683032929968118,0.2846864977823702,-0.028522045427470537,0.056321659368006566,-0.039460793145055635,0.07395985833879101
C1,B136,0.08,1.0,W,63,O5_CAGR,0.0029954535040043473,0.019406147471205813,0.15435590750038874,-0.030395863554084614,0.03243452608723871,-0.03775725628613618,0.03691350180836295
C2,B136,0.08,1.0,W,10,O3_OOS,0.21841406808013408,0.1559542150374263,1.4005012177947131,-0.04746758694503007,0.4587914845361129,-0.08609236302247403,0.506466341656027
C2,B136,0.08,1.0,W,10,O4_DD,0.00731161269726191,0.03367648102427005,0.21711332285557267,-0.04234134493805076,0.07082484457499207,-0.05153705298751447,0.0833161139669962
C2,B136,0.08,1.0,W,10,O5_CAGR,0.0029954535040043473,0.021851083928139073,0.13708489308152377,-0.034310458180976645,0.03605367385294725,-0.043807465238838966,0.043004678463476054
C2,B136,0.08,1.0,W,21,O3_OOS,0.21841406808013408,0.14650916530338767,1.4907877444243673,-0.011227279417372562,0.47338877812087804,-0.06082364700141016,0.5151596899603809
C2,B136,0.08,1.0,W,21,O4_DD,0.00731161269726191,0.028873695091969125,0.2532274679071314,-0.03585947983080737,0.05898147955484766,-0.043374995774728656,0.07042785148738308
C2,B136,0.08,1.0,W,21,O5_CAGR,0.0029954535040043473,0.020855013065736977,0.1436323005198987,-0.03212752655812153,0.03636972534216765,-0.04251136689601448,0.03992077024854006
C2,B136,0.08,1.0,W,63,O3_OOS,0.21841406808013408,0.1398933092013699,1.5612903099299569,-0.015038036747486343,0.44108754111193105,-0.06570176586904793,0.49088519195498503
C2,B136,0.08,1.0,W,63,O4_DD,0.00731161269726191,0.025683032929968118,0.2846864977823702,-0.028522045427470537,0.056321659368006566,-0.039460793145055635,0.07395985833879101
C2,B136,0.08,1.0,W,63,O5_CAGR,0.0029954535040043473,0.019406147471205813,0.15435590750038874,-0.030395863554084614,0.03243452608723871,-0.03775725628613618,0.03691350180836295
