panel,gate,cell,value,bar,passed
U56,G1_cost_linearity,BAND g0.75 W 10bps,0.0,1e-12,True
U56,G3_ALLIN_gross_is_flat,g0.75,8.881784197001252e-16,1e-12,True
U56,G1_cost_linearity,ALLIN g0.75 W 10bps,0.0,1e-12,True
B136,G1_cost_linearity,BAND g0.75 W 10bps,0.0,1e-12,True
B136,G3_ALLIN_gross_is_flat,g0.75,1.887379141862766e-15,1e-12,True
B136,G1_cost_linearity,ALLIN g0.75 W 10bps,0.0,1e-12,True
SMALL439,G1_cost_linearity,BAND g0.75 W 10bps,0.0,1e-12,True
SMALL439,G3_ALLIN_gross_is_flat,g0.75,7.327471962526033e-15,1e-12,True
SMALL439,G1_cost_linearity,ALLIN g0.75 W 10bps,0.0,1e-12,True
U56,G2_idea733_live_row,CAGR,-3.7223415109977065e-07,5e-06,True
U56,G2_idea733_live_row,Sharpe,-1.3145481969623063e-07,5e-06,True
U56,G2_idea733_live_row,MaxDD,3.215314098165001e-07,5e-06,True
U56,G2_idea733_live_row,OOS_Sharpe,-4.887942832709768e-07,5e-06,True
all,G3b_ALLIN_turnover_below_BAND,count,0.0,0.0,True
